j1_1,j1_2,j1_3,j1_4,j1_5,j1_6,j2_1,j2_2,j2_3,j2_4,j2_5,j2_6,j1_l1,j1_l2,j2_l1,j2_l2
143,206,226,345,406,527,106,238,244,263,556,573,143,206,263,556
161,188,209,344,468,501,56,67,198,344,393,430,468,501,56,430
161,188,209,344,468,501,56,67,198,344,393,430,468,501,56,430
161,188,209,344,468,501,56,67,198,344,393,430,161,468,56,393
161,188,209,344,468,501,56,67,198,344,393,430,161,188,56,393
147,236,321,526,561,570,236,286,321,526,530,561,147,321,236,286
56,106,109,486,561,573,50,161,236,263,286,526,56,561,236,263
55,161,236,238,527,573,9,236,265,508,530,570,55,238,9,571
55,161,236,238,527,573,9,236,265,508,530,570,238,574,265,508
50,56,236,263,269,388,50,56,236,263,388,560,50,269,50,56
56,236,245,321,526,530,50,56,236,263,388,560,56,321,56,236
50,56,236,263,388,560,55,238,245,321,462,507,56,560,55,238
56,206,236,269,345,495,50,56,236,263,388,560,236,269,50,56
56,236,245,321,526,530,9,56,74,236,508,573,56,245,56,236
13,68,269,495,530,570,30,140,321,336,462,526,495,571,321,462
13,68,269,495,530,570,30,140,321,336,462,526,269,531,140,321
261,286,321,325,526,530,55,236,250,321,345,462,261,321,250,321
11,56,147,263,406,561,56,74,236,321,464,561,11,561,321,464
55,236,250,321,345,462,68,161,245,321,344,495,55,236,321,495
311,378,431,466,484,491,56,74,236,321,464,561,311,484,236,321
68,161,245,321,344,495,56,198,236,378,402,573,344,495,378,574
55,206,236,269,321,530,26,55,263,319,527,537,55,321,319,537
202,263,315,379,422,450,68,106,393,570,577,580,315,379,393,577
202,263,315,379,422,450,68,106,393,570,577,580,202,379,68,106
55,209,251,427,446,530,105,225,243,280,286,507,55,251,280,507
55,209,251,427,446,530,105,225,243,280,286,507,55,427,105,225
106,238,244,263,507,573,9,55,109,487,527,530,244,263,527,529
106,238,244,263,507,573,9,55,109,487,527,530,238,244,55,529
67,161,263,321,343,388,9,56,236,406,495,530,161,263,236,495
67,161,263,321,343,388,9,56,236,406,495,530,67,321,495,531
9,30,55,161,206,265,147,206,226,245,321,526,9,55,147,526
236,286,321,526,530,561,56,236,388,406,462,573,531,561,56,236
232,245,286,289,527,570,18,20,72,216,238,265,286,289,18,265
232,245,286,289,527,570,18,20,72,216,238,265,286,289,238,265
232,245,286,289,527,570,18,20,72,216,238,265,286,289,238,265
56,106,236,321,390,530,56,236,263,396,406,551,236,390,56,396
56,106,236,321,390,530,56,236,263,396,406,551,236,390,56,396
18,30,216,238,265,430,226,321,339,464,526,530,216,238,226,526
18,30,216,238,265,430,226,321,339,464,526,530,30,430,321,526
18,30,216,238,265,430,226,321,339,464,526,530,216,238,464,529
109,143,206,345,406,486,11,31,139,265,561,573,143,406,31,561
109,143,206,345,406,486,11,31,139,265,561,573,143,206,11,561
55,103,147,169,265,406,147,209,245,321,344,561,103,406,147,321
161,209,406,413,468,501,140,206,236,321,336,346,161,209,140,206
161,209,406,413,468,501,140,206,236,321,336,346,209,501,140,236
161,209,406,413,468,501,140,206,236,321,336,346,468,501,140,236
110,131,195,225,424,581,18,73,189,199,370,515,110,424,189,515
110,131,195,225,424,581,18,73,189,199,370,515,131,424,18,370
9,236,393,406,468,561,147,245,321,336,344,530,9,393,245,321
9,236,393,406,468,561,147,245,321,336,344,530,393,468,147,531
9,236,393,406,468,561,147,245,321,336,344,530,393,561,321,344
25,56,113,245,466,558,171,205,275,283,311,508,56,466,275,508
67,225,395,425,521,561,11,147,179,243,343,406,395,561,179,406
67,225,395,425,521,561,11,147,179,243,343,406,395,561,343,406
56,68,361,428,561,573,9,19,166,206,263,286,56,561,206,286
56,68,361,428,561,573,9,19,166,206,263,286,68,561,206,286
67,225,395,425,521,561,20,22,29,68,242,581,67,561,20,68
67,225,395,425,521,561,20,22,29,68,242,581,395,561,20,29
67,225,395,425,521,561,25,83,113,237,413,491,395,561,413,491
67,225,395,425,521,561,25,83,113,237,413,491,395,561,25,413
67,225,395,425,521,561,25,83,113,237,413,491,395,561,25,413
40,54,55,73,238,527,198,245,321,356,361,430,40,238,245,361
55,161,236,245,321,561,50,236,263,286,526,556,236,321,236,263
56,67,343,388,501,573,55,161,236,245,321,561,501,574,321,561
56,206,236,269,345,495,55,67,161,209,255,388,236,345,67,209
55,206,236,269,321,530,56,67,343,388,501,573,236,321,501,574
56,74,206,236,406,573,13,19,56,134,241,356,56,74,56,241
56,74,206,236,406,573,13,19,56,134,241,356,56,236,134,241
50,238,244,263,561,573,140,236,251,321,336,346,263,561,140,236
50,238,244,263,561,573,140,236,251,321,336,346,244,574,140,346
50,238,244,263,561,573,140,236,251,321,336,346,244,574,140,236
56,74,206,236,406,573,55,236,238,286,527,530,56,74,55,529
56,74,206,236,406,573,55,236,238,286,527,530,56,236,236,286
245,285,321,323,361,430,55,206,236,269,321,530,321,323,55,531
176,220,263,406,430,495,56,74,206,236,406,573,220,430,56,406
176,220,263,406,430,495,56,74,206,236,406,573,263,406,56,236
176,220,263,406,430,495,56,74,206,236,406,573,263,406,56,236
176,220,263,406,430,495,13,19,56,134,241,356,220,263,134,241
176,220,263,406,430,495,13,19,56,134,241,356,220,263,134,241
68,143,344,406,508,573,147,225,226,321,464,526,143,508,147,464
147,225,226,321,464,526,68,143,344,406,508,573,147,226,344,508
147,225,226,321,464,526,68,143,344,406,508,573,225,226,68,508
9,55,109,487,527,530,18,257,265,334,530,570,9,109,265,334
9,55,109,487,527,530,18,257,265,334,530,570,527,529,265,334
161,209,406,468,501,577,56,67,237,345,405,495,161,209,67,405
161,209,406,468,501,577,56,67,237,345,405,495,468,501,67,405
9,105,280,286,388,507,140,245,321,336,343,526,280,507,245,336
9,105,280,286,388,507,140,245,321,336,343,526,9,286,321,343
255,287,337,430,503,517,73,265,378,430,459,503,503,517,378,503
74,246,265,317,378,459,73,265,378,430,459,503,246,459,73,265
6,221,381,456,483,503,74,246,265,317,378,459,456,503,265,317
51,74,138,142,216,287,73,265,378,430,459,503,51,216,265,459
74,246,265,317,378,459,74,138,216,255,318,503,265,317,216,503
6,221,381,456,483,503,63,216,246,337,484,514,456,503,216,337
73,265,378,430,459,503,258,265,317,334,430,506,73,265,265,317
67,225,395,425,521,561,40,161,319,396,446,508,67,561,161,446
67,225,395,425,521,561,40,161,319,396,446,508,67,561,319,508
67,225,395,425,521,561,40,161,319,396,446,508,225,425,161,396
67,225,395,425,521,561,62,216,257,377,462,530,395,521,377,531
67,225,395,425,521,561,62,216,257,377,462,530,395,521,377,462
67,225,395,425,521,561,62,216,257,377,462,530,395,521,377,462
85,293,361,372,466,540,0,20,35,61,296,323,466,540,0,35
85,293,361,372,466,540,0,20,35,61,296,323,85,293,61,296
18,189,199,255,370,515,218,298,339,428,449,526,370,515,298,428
18,189,199,255,370,515,218,298,339,428,449,526,199,370,339,428
106,238,251,286,417,526,113,144,206,239,302,412,238,526,206,302
106,238,251,286,417,526,113,144,206,239,302,412,238,526,144,206
106,238,251,286,417,526,113,144,206,239,302,412,106,251,206,302
209,236,255,388,495,530,22,50,56,67,238,263,209,255,50,56
209,236,255,388,495,530,22,50,56,67,238,263,236,495,22,263
209,236,255,388,495,530,22,50,56,67,238,263,209,255,67,263
55,236,446,495,508,530,22,50,56,67,238,263,508,531,67,263
50,67,161,243,263,462,56,206,209,388,484,561,263,462,56,561
50,67,161,243,263,462,56,206,209,388,484,561,161,462,56,561
50,67,161,243,263,462,56,206,209,388,484,561,161,462,209,388
9,30,55,265,508,530,68,245,246,321,343,573,265,508,245,321
67,225,395,425,521,561,50,198,236,388,430,507,425,521,236,430
67,225,395,425,521,561,50,198,236,388,430,507,521,561,236,430
67,238,263,280,400,561,245,257,265,321,508,530,67,561,321,508
141,236,414,560,570,573,141,236,414,560,570,573,236,414,236,414
50,143,161,388,413,573,56,226,245,345,526,561,413,574,56,245
50,143,161,388,413,573,56,226,245,345,526,561,50,143,345,526
56,226,245,345,526,561,50,143,161,388,413,573,56,345,50,388
56,226,245,345,526,561,50,143,161,388,413,573,56,226,388,574
56,226,245,345,526,561,50,143,161,388,413,573,226,526,413,574
236,263,321,396,551,556,50,143,161,388,413,573,236,263,143,161
236,263,321,396,551,556,50,143,161,388,413,573,321,396,143,574
236,263,321,396,551,556,50,143,161,388,413,573,321,396,161,574
68,113,246,265,284,530,50,143,161,388,413,573,246,265,161,388
68,113,246,265,284,530,50,143,161,388,413,573,246,265,388,413
56,226,245,345,526,561,236,263,321,396,551,556,56,226,321,396
56,226,245,345,526,561,236,263,321,396,551,556,56,345,236,321
50,143,161,388,413,573,139,206,430,446,495,570,50,574,139,495
68,113,246,265,284,530,9,55,147,238,339,527,113,265,9,238
68,113,246,265,284,530,9,55,147,238,339,527,68,246,9,238
139,206,430,446,495,570,50,143,161,388,413,573,206,571,50,574
68,113,246,265,284,530,9,55,147,238,339,527,113,246,55,238
198,209,269,280,400,524,68,113,246,265,284,530,209,400,246,265
198,209,269,280,400,524,68,113,246,265,284,530,280,524,265,531
56,226,245,345,526,561,9,55,147,238,339,527,226,526,9,147
50,143,161,388,413,573,236,263,321,396,551,556,388,413,321,396
56,226,245,345,526,561,9,55,147,238,339,527,226,245,9,147
50,143,161,388,413,573,236,263,321,396,551,556,161,413,321,396
56,226,245,345,526,561,9,55,147,238,339,527,56,345,238,339
198,209,269,280,400,524,50,143,161,388,413,573,269,524,143,574
188,232,261,286,393,564,139,206,430,446,495,570,232,261,139,206
198,209,269,280,400,524,50,143,161,388,413,573,209,280,413,574
188,232,261,286,393,564,139,206,430,446,495,570,261,564,446,571
68,113,246,265,284,530,236,263,321,396,551,556,265,284,321,396
68,113,246,265,284,530,236,263,321,396,551,556,265,284,321,396
68,113,246,265,284,530,236,263,321,396,551,556,265,284,321,396
68,113,246,265,284,530,236,263,321,396,551,556,246,265,321,396
56,226,245,345,526,561,188,232,261,286,393,564,226,245,188,261
56,226,245,345,526,561,188,232,261,286,393,564,56,345,261,564
139,206,430,446,495,570,9,55,147,238,339,527,495,571,9,147
139,206,430,446,495,570,9,55,147,238,339,527,495,571,238,339
139,206,430,446,495,570,9,55,147,238,339,527,206,495,238,339
56,236,388,406,508,573,9,56,406,508,530,573,508,574,56,508
56,236,388,406,508,573,9,56,406,508,530,573,508,574,56,508
56,236,388,406,508,573,9,56,406,508,530,573,508,574,406,508
18,285,356,370,378,544,131,285,378,400,558,564,18,370,131,378
18,285,356,370,378,544,131,285,378,400,558,564,18,378,131,378
18,285,356,370,378,544,131,285,378,400,558,564,18,356,131,378
9,13,91,215,220,530,11,175,248,464,503,561,9,91,11,561
9,13,91,215,220,530,11,175,248,464,503,561,91,215,464,561
188,236,245,286,289,570,68,143,344,406,530,573,236,286,344,406
68,143,344,406,530,573,188,236,245,286,289,570,344,574,236,286
188,236,245,286,289,570,68,143,344,406,530,573,236,286,344,574
9,161,236,263,286,526,147,206,321,343,551,573,161,263,147,321
9,161,236,263,286,526,147,206,321,343,551,573,236,263,206,321
56,67,179,334,344,393,13,220,238,495,530,570,67,393,238,495
56,67,179,334,344,393,13,220,238,495,530,570,334,393,238,531
9,57,128,238,404,456,11,156,179,239,511,543,238,456,179,543
9,57,128,238,404,456,11,156,179,239,511,543,238,456,156,511
55,106,209,427,446,530,48,143,206,226,345,527,209,427,206,226
55,106,209,427,446,530,48,143,206,226,345,527,209,427,143,206
177,300,318,331,406,551,60,206,219,311,485,516,300,406,219,516
177,300,318,331,406,551,60,206,219,311,485,516,300,406,219,311
67,238,263,280,400,561,9,245,265,321,508,530,263,280,265,531
67,238,263,280,400,561,9,245,265,321,508,530,263,561,265,508
9,245,265,321,508,530,67,238,263,280,400,561,245,321,67,238
56,236,344,388,406,573,9,68,265,408,530,570,406,574,408,571
9,68,265,408,530,570,55,67,161,209,388,462,265,571,55,462
56,68,236,406,508,573,9,68,265,408,530,570,508,574,408,571
50,56,236,263,269,388,56,388,406,462,508,573,56,263,462,508
20,185,203,238,245,378,198,246,342,352,370,428,238,378,246,428
198,246,342,352,370,428,20,185,203,238,245,378,246,352,20,238
20,185,203,238,245,378,198,246,342,352,370,428,20,238,198,246
11,196,301,347,378,527,9,11,68,179,196,361,347,527,9,11
11,196,301,347,378,527,9,11,68,179,196,361,347,527,11,196
11,196,301,347,378,527,9,11,68,179,196,361,196,301,9,11
41,271,319,321,340,516,9,70,112,138,393,484,340,516,70,484
9,55,236,336,339,530,38,206,336,345,356,489,339,531,38,206
55,206,269,321,464,530,9,55,236,321,530,551,206,321,55,236
55,206,269,321,464,530,206,236,286,321,345,406,206,321,236,321
56,109,238,487,560,573,206,236,286,321,345,406,56,238,206,236
67,161,245,263,321,561,68,179,236,345,388,508,67,561,68,508
55,236,245,251,321,526,50,55,251,263,388,427,251,321,263,427
55,236,245,251,321,526,50,55,251,263,388,427,251,321,263,427
55,236,245,251,321,526,50,55,251,263,388,427,251,321,263,427
55,236,245,251,321,526,50,55,251,263,388,427,245,321,263,427
55,236,245,251,321,526,50,55,251,263,388,427,251,321,263,427
50,55,67,263,388,560,206,236,286,321,526,530,263,560,236,321
50,55,67,263,388,560,206,236,286,321,526,530,263,560,206,321
50,55,67,263,388,560,206,236,286,321,526,530,263,560,206,526
85,238,321,377,390,408,19,140,166,206,263,286,85,238,166,286
85,238,321,377,390,408,19,140,166,206,263,286,238,377,166,286
147,161,209,321,530,561,9,56,68,388,406,573,321,561,56,388
11,55,206,321,526,551,147,206,226,245,269,321,206,321,245,321
11,55,206,321,526,551,147,206,226,245,269,321,55,526,245,321
11,55,206,321,526,551,147,206,226,245,269,321,11,206,245,321
55,67,161,209,388,462,161,226,236,250,263,388,209,388,263,388
55,67,161,209,388,462,161,226,236,250,263,388,209,462,161,263
55,67,161,209,388,462,161,226,236,250,263,388,55,388,226,263
56,67,236,263,556,560,55,67,161,209,255,388,263,560,67,161
56,67,236,263,556,560,55,67,161,209,255,388,236,263,161,209
18,147,188,361,446,577,9,113,179,236,527,530,188,577,113,179
18,147,188,361,446,577,9,113,179,236,527,530,188,577,113,179
18,147,188,361,446,577,9,113,179,236,527,530,188,577,179,527
18,147,188,361,446,577,9,113,179,236,527,530,188,577,236,531
18,147,188,361,446,577,9,113,179,236,527,530,361,577,179,527
9,68,147,236,263,286,55,67,161,209,255,388,147,236,67,161
9,68,236,321,551,573,55,67,161,209,255,388,321,551,161,209
91,161,226,236,321,526,50,209,243,321,388,556,91,236,243,321
55,72,206,236,245,321,56,67,236,263,556,560,55,206,263,560
261,286,321,325,344,526,91,161,226,236,321,526,261,325,91,236
55,67,161,209,255,388,55,147,245,321,507,526,55,209,55,321
55,206,236,321,530,551,55,147,236,269,321,530,55,531,147,321
55,74,106,147,321,561,56,68,361,428,561,573,55,74,56,561
55,74,106,147,321,561,56,68,361,428,561,573,55,74,56,561
55,74,106,147,321,561,56,68,361,428,561,573,55,74,56,561
9,68,147,236,263,286,55,147,236,388,406,530,263,286,55,236
9,68,147,236,263,286,56,236,307,388,406,573,147,236,56,307
9,68,147,236,263,286,55,236,245,321,446,501,68,263,236,321
30,55,312,355,361,526,9,68,147,236,263,286,55,312,236,286
56,113,161,236,263,334,30,55,312,355,361,526,236,263,30,361
74,179,428,508,559,570,147,257,286,343,404,405,74,179,147,286
74,179,428,508,559,570,147,257,286,343,404,405,74,179,147,343
55,147,236,269,321,530,261,286,321,325,344,526,269,321,261,286
54,144,162,264,271,524,62,68,112,189,314,464,54,524,62,189
18,147,188,361,446,577,9,11,68,179,196,361,188,577,196,361
18,147,188,361,446,577,9,11,68,179,196,361,147,188,9,11
226,321,339,351,526,530,56,206,209,388,484,561,226,526,56,561
18,147,188,361,446,577,9,11,68,179,196,361,147,188,9,196
226,321,339,351,526,530,56,206,209,388,484,561,226,529,209,484
9,113,161,236,507,526,9,113,179,236,527,530,9,507,9,527
9,113,179,236,527,530,9,113,161,236,507,526,9,527,161,236
55,206,236,321,344,530,56,68,236,393,551,560,55,206,56,560
55,91,321,344,388,530,55,206,236,321,344,530,91,321,236,321
55,91,321,344,388,530,55,206,236,321,344,530,91,321,236,321
9,55,236,269,321,530,9,68,236,321,551,573,55,236,68,574
147,161,209,321,530,561,9,56,68,388,406,573,161,209,388,574
16,30,130,370,559,561,18,233,283,307,352,361,16,561,233,283
56,226,243,245,526,561,68,113,246,265,284,530,56,245,68,113
16,30,130,370,559,561,18,233,283,307,352,361,16,559,18,307
16,30,130,370,559,561,18,233,283,307,352,361,30,370,18,307
9,55,147,238,466,527,188,232,261,286,393,564,147,238,261,286
9,55,147,238,466,527,188,232,261,286,393,564,55,238,261,564
17,203,314,318,408,430,205,301,435,449,516,525,17,430,301,435
17,203,314,318,408,430,205,301,435,449,516,525,17,430,204,449
11,18,67,307,334,517,11,196,301,347,378,527,67,334,347,527
11,18,67,307,334,517,11,196,301,347,378,527,67,307,11,301
11,196,301,347,378,527,9,113,179,236,527,530,347,527,9,531
138,246,270,325,334,497,161,179,319,413,449,581,138,497,319,413
11,196,301,347,378,527,9,113,179,236,527,530,347,527,9,179
11,196,301,347,378,527,9,113,179,236,527,530,11,301,9,236
138,246,270,325,334,497,161,179,319,413,449,581,270,334,161,179
9,17,179,245,508,530,9,161,206,270,345,346,9,179,9,161
9,17,179,245,508,530,9,161,206,270,345,346,508,531,9,161
9,17,179,245,508,530,9,161,206,270,345,346,508,531,206,270
68,200,269,345,346,406,68,109,113,179,200,501,200,406,68,200
11,18,67,307,334,517,9,113,161,236,507,526,67,517,161,236
11,18,67,307,334,517,9,113,161,236,507,526,67,334,161,507
9,161,198,236,263,430,9,68,286,508,530,570,161,263,68,508
9,161,198,236,263,430,9,68,286,508,530,570,161,263,286,531
9,161,198,236,263,430,9,68,286,508,530,570,236,263,531,571
9,56,68,388,406,573,56,109,344,501,561,573,56,574,109,501
55,269,321,343,361,530,68,209,343,436,551,573,269,531,68,574
167,248,263,321,455,551,68,209,343,436,551,573,263,455,68,574
20,30,238,265,430,556,50,91,161,263,488,579,20,238,91,579
20,30,238,265,430,556,50,91,161,263,488,579,430,556,50,579
50,91,161,263,488,579,20,30,238,265,430,556,50,579,238,430
139,147,226,245,469,526,50,56,67,334,344,464,147,245,56,67
139,147,226,245,469,526,50,56,67,334,344,464,147,245,56,334
112,166,239,243,484,511,50,61,300,339,459,530,243,511,459,531
50,61,300,339,459,530,112,166,239,243,484,511,50,531,239,243
50,61,300,339,459,530,112,166,239,243,484,511,339,531,166,243
138,206,333,378,424,525,15,193,270,491,523,556,206,333,270,523
15,193,270,491,523,556,138,206,333,378,424,525,15,491,206,378
238,244,263,556,561,573,68,238,269,495,530,570,244,263,269,531
238,244,263,556,561,573,68,238,269,495,530,570,244,263,238,495
56,67,237,307,345,495,245,321,336,343,462,526,56,307,245,321
56,67,237,307,345,495,245,321,336,343,462,526,56,237,321,462
138,143,179,337,354,497,65,143,179,268,339,547,143,354,143,547
138,143,179,337,354,497,65,143,179,268,339,547,143,354,268,547
55,209,251,427,446,530,140,206,251,321,336,346,209,427,140,321
138,143,179,337,354,497,65,143,179,268,339,547,143,354,143,547
55,209,251,427,446,530,140,206,251,321,336,346,209,427,140,206
55,209,251,427,446,530,140,206,251,321,336,346,209,427,206,321
55,206,245,321,344,530,55,206,245,321,530,551,206,321,245,321
55,206,245,321,344,530,55,206,245,321,530,551,206,321,245,321
55,147,251,269,321,361,161,175,206,209,226,236,147,321,209,236
55,147,251,269,321,361,161,175,206,209,226,236,55,251,209,236
55,147,251,269,321,361,161,175,206,209,226,236,147,321,209,226
11,40,98,245,407,530,112,126,319,413,469,519,11,407,126,413
11,40,98,245,407,530,112,126,319,413,469,519,11,407,112,469
11,40,98,245,407,530,112,126,319,413,469,519,407,531,126,413
68,181,246,265,284,530,50,143,388,406,413,573,246,265,388,406
73,171,179,233,377,410,67,172,238,256,372,581,179,233,256,372
68,181,246,265,284,530,50,143,388,406,413,573,181,246,388,413
67,172,238,256,372,581,73,171,179,233,377,410,172,238,233,377
140,206,430,446,495,570,236,263,321,343,396,551,430,571,263,396
140,206,430,446,495,570,236,263,321,343,396,551,206,495,263,396
50,55,67,263,388,560,18,143,147,265,508,530,263,560,143,508
205,250,274,311,324,508,31,113,248,251,283,334,250,324,113,248
55,236,446,495,508,530,9,56,68,113,388,573,508,531,56,68
31,113,248,251,283,334,205,250,274,311,324,508,283,334,250,508
55,236,446,495,508,530,147,236,321,526,561,570,55,446,147,321
55,236,446,495,508,530,9,125,216,464,507,526,55,236,9,125
50,67,161,263,270,286,55,236,446,495,508,530,263,286,55,236
0,20,35,61,296,323,18,73,89,189,370,515,20,323,73,370
0,20,35,61,296,323,18,73,89,189,370,515,20,323,18,370
47,116,186,360,467,472,74,154,231,420,528,555,116,360,528,555
47,116,186,360,467,472,74,154,231,420,528,555,186,467,528,555
47,116,186,360,467,472,74,154,231,420,528,555,47,116,420,555
55,206,236,269,321,530,9,56,68,388,406,573,55,321,68,388
179,206,226,345,501,527,9,55,91,377,527,530,206,226,527,529
179,206,226,345,501,527,9,55,91,377,527,530,226,501,9,529
56,106,206,238,485,573,147,206,226,245,321,526,485,574,147,526
56,106,206,238,485,573,147,206,226,245,321,526,56,106,206,245
209,236,255,388,495,530,18,143,147,265,508,530,209,388,18,265
209,236,255,388,495,530,18,143,147,265,508,530,255,388,265,531
9,57,128,238,404,456,177,300,318,331,406,551,238,456,177,331
9,57,128,238,404,456,177,300,318,331,406,551,238,456,331,406
161,236,238,263,286,526,161,226,361,406,495,530,238,286,406,495
50,67,161,263,270,286,55,269,321,343,361,530,161,270,55,531
85,138,246,269,497,577,147,238,306,377,397,527,246,577,238,527
85,138,246,269,497,577,147,238,306,377,397,527,138,497,238,306
198,209,269,280,400,524,56,106,226,245,526,561,280,524,56,561
198,209,269,280,400,524,56,106,226,245,526,561,209,280,226,526
9,113,161,236,507,526,9,18,161,236,406,527,236,507,9,527
9,18,161,236,406,527,9,113,161,236,507,526,161,236,9,507
161,209,344,406,468,501,11,18,31,265,561,573,209,406,11,31
161,209,344,406,468,501,11,18,31,265,561,573,406,468,18,561
9,161,236,263,286,526,56,68,147,236,406,573,236,263,68,406
73,133,264,330,359,418,106,154,238,462,495,527,73,330,154,527
40,73,173,274,486,491,13,206,238,262,287,350,274,486,206,287
40,73,173,274,486,491,13,206,238,262,287,350,274,486,13,206
40,73,173,274,486,491,13,206,238,262,287,350,274,486,206,287
55,206,238,286,361,530,226,263,344,388,406,508,238,286,263,406
55,206,238,286,361,530,226,263,344,388,406,508,286,361,344,406
55,206,238,286,361,530,226,263,344,388,406,508,286,361,344,406
55,206,238,286,361,530,226,263,344,388,406,508,55,361,263,406
55,206,238,286,361,530,226,263,344,388,406,508,286,361,263,406
55,206,238,286,361,530,226,263,344,388,406,508,238,286,263,406
147,196,206,270,449,464,9,113,161,236,507,526,196,206,9,236
147,196,206,270,449,464,9,113,161,236,507,526,206,449,113,236
147,196,206,270,449,464,9,18,161,236,406,527,196,206,161,527
147,196,206,270,449,464,9,18,161,236,406,527,206,449,161,406
11,156,179,239,511,543,76,85,293,446,466,484,179,543,293,446
11,156,179,239,511,543,76,85,293,446,466,484,179,543,85,484
11,156,179,239,511,543,76,85,293,446,466,484,179,543,76,85
39,195,340,424,563,581,298,305,339,428,449,526,195,563,298,449
39,195,340,424,563,581,298,305,339,428,449,526,39,563,305,339
56,74,236,265,406,530,226,263,344,388,406,508,74,531,263,508
56,74,236,265,406,530,226,263,344,388,406,508,74,265,226,508
9,55,91,236,269,321,226,263,344,388,406,508,91,236,263,344
9,55,91,236,269,321,226,263,344,388,406,508,269,321,263,344
9,55,91,236,269,321,226,263,344,388,406,508,55,236,263,344
9,55,91,236,269,321,226,263,344,388,406,508,55,91,263,344
115,141,169,238,462,489,70,173,206,446,485,486,141,238,446,486
115,141,169,238,462,489,70,173,206,446,485,486,141,238,206,446
115,141,169,238,462,489,70,173,206,446,485,486,141,238,70,446
56,68,361,428,561,573,22,85,124,238,321,377,68,574,238,377
236,251,321,336,346,354,55,104,377,428,527,530,321,336,104,529
236,251,321,336,346,354,55,104,377,428,527,530,236,346,55,377
147,196,206,270,449,464,9,11,68,147,179,527,206,449,179,527
18,147,352,361,446,577,11,16,20,147,307,408,361,577,11,307
18,147,352,361,446,577,11,16,20,147,307,408,352,361,20,408
11,18,31,265,561,573,68,269,495,508,530,570,18,265,269,571
11,18,31,265,561,573,68,269,495,508,530,570,11,561,508,531
18,147,352,361,446,577,9,18,161,236,406,527,446,577,161,527
18,147,352,361,446,577,9,18,161,236,406,527,18,577,9,18
125,200,250,274,324,503,15,193,270,491,523,556,274,503,15,523
125,200,250,274,324,503,15,193,270,491,523,556,125,274,270,523
