j1_1,j1_2,j1_3,j1_4,j1_5,j1_6,j2_1,j2_2,j2_3,j2_4,j2_5,j2_6,j1_l1,j1_l2,j2_l1,j2_l2
glastrier,gougingfire,ironhands,kyuremwhite,oranguru,urshifurapidstrike,cinccino,dialgaorigin,koraidon,landorustherian,roaringmoon,weavile,gougingfire,kyuremwhite,dialgaorigin,landorustherian
glastrier,gougingfire,ironhands,kyuremwhite,oranguru,urshifurapidstrike,cinccino,dialgaorigin,koraidon,landorustherian,roaringmoon,weavile,kyuremwhite,oranguru,roaringmoon,weavile
glastrier,gougingfire,ironhands,kyuremwhite,oranguru,urshifurapidstrike,cinccino,dialgaorigin,koraidon,landorustherian,roaringmoon,weavile,kyuremwhite,oranguru,cinccino,landorustherian
chienpao,farigiraf,miraidon,volcarona,whimsicott,zamazentacrowned,chiyu,fluttermane,koraidon,miraidon,ogerponcornerstone,ragingbolt,miraidon,volcarona,koraidon,ogerponcornerstone
calyrexshadow,chiyu,chienpao,orthworm,sableye,ursalunabloodmoon,glastrier,gougingfire,ironhands,kyuremwhite,oranguru,urshifurapidstrike,calyrexshadow,chiyu,kyuremwhite,oranguru
calyrexshadow,chiyu,chienpao,orthworm,sableye,ursalunabloodmoon,glastrier,gougingfire,ironhands,kyuremwhite,oranguru,urshifurapidstrike,orthworm,sableye,ironhands,oranguru
calyrexshadow,chiyu,chienpao,orthworm,ursalunabloodmoon,whimsicott,bisharp,cresselia,kyuremwhite,ninetalesalola,tornadus,zamazentacrowned,chiyu,whimsicott,kyuremwhite,tornadus
calyrexshadow,chiyu,chienpao,orthworm,ursalunabloodmoon,whimsicott,cetitan,cresselia,kyuremwhite,lunala,ninetalesalola,tornadus,calyrexshadow,whimsicott,lunala,ninetalesalola
calyrexshadow,chiyu,chienpao,orthworm,ursalunabloodmoon,whimsicott,cetitan,cresselia,kyuremwhite,lunala,ninetalesalola,tornadus,orthworm,whimsicott,cetitan,tornadus
cetitan,cresselia,kyuremwhite,lunala,ninetalesalola,tornadus,grimmsnarl,incineroar,lunala,miraidon,ursaluna,whimsicott,cresselia,lunala,grimmsnarl,miraidon
cetitan,cresselia,kyuremwhite,lunala,ninetalesalola,tornadus,grimmsnarl,incineroar,lunala,miraidon,ursaluna,whimsicott,kyuremwhite,tornadus,grimmsnarl,lunala
chiyu,comfey,groudon,ragingbolt,salamence,walkingwake,cetitan,cresselia,kyuremwhite,lunala,ninetalesalola,tornadus,ragingbolt,salamence,kyuremwhite,tornadus
chiyu,comfey,groudon,ragingbolt,salamence,walkingwake,cetitan,cresselia,kyuremwhite,lunala,ninetalesalola,tornadus,groudon,walkingwake,kyuremwhite,tornadus
chiyu,comfey,groudon,ragingbolt,salamence,walkingwake,cetitan,cresselia,kyuremwhite,lunala,ninetalesalola,tornadus,chiyu,groudon,cetitan,ninetalesalola
brutebonnet,calyrexshadow,fluttermane,incineroar,koraidon,whimsicott,brutebonnet,chiyu,fluttermane,koraidon,lunala,ursaluna,brutebonnet,koraidon,lunala,ursaluna
brutebonnet,calyrexshadow,fluttermane,incineroar,koraidon,whimsicott,brutebonnet,chiyu,fluttermane,koraidon,lunala,ursaluna,calyrexshadow,incineroar,lunala,ursaluna
calyrexice,groudon,ironvaliant,regieleki,roaringmoon,urshifurapidstrike,calyrexshadow,chiyu,gothitelle,ogerponhearthflame,rayquaza,screamtail,calyrexice,roaringmoon,calyrexshadow,screamtail
amoonguss,dialgaorigin,ironbundle,landorustherian,lunala,ragingbolt,dondozo,eternatus,hooh,ogerponwellspring,tatsugiri,ursalunabloodmoon,ironbundle,lunala,hooh,ursalunabloodmoon
calyrexice,groudon,ironvaliant,regieleki,roaringmoon,urshifurapidstrike,calyrexshadow,chiyu,gothitelle,ogerponhearthflame,rayquaza,screamtail,calyrexice,ironvaliant,calyrexshadow,rayquaza
ditto,ironcrown,koraidon,walkingwake,whimsicott,zamazentacrowned,eternatus,landorus,ogerponcornerstone,ragingbolt,tornadus,zaciancrowned,koraidon,whimsicott,eternatus,tornadus
amoonguss,dialgaorigin,ironbundle,landorustherian,lunala,ragingbolt,dondozo,eternatus,hooh,ogerponwellspring,tatsugiri,ursalunabloodmoon,ironbundle,lunala,eternatus,hooh
ditto,ironcrown,koraidon,walkingwake,whimsicott,zamazentacrowned,eternatus,landorus,ogerponcornerstone,ragingbolt,tornadus,zaciancrowned,koraidon,whimsicott,eternatus,tornadus
amoonguss,dialgaorigin,ironbundle,landorustherian,lunala,ragingbolt,dondozo,eternatus,hooh,ogerponwellspring,tatsugiri,ursalunabloodmoon,ironbundle,lunala,eternatus,hooh
drifblim,jumpluff,luxray,meowstic,thievul,tinkaton,dewgong,drifblim,primeape,scovillain,sneaselhisui,tinkaton,drifblim,meowstic,scovillain,sneaselhisui
drifblim,jumpluff,luxray,meowstic,thievul,tinkaton,dewgong,drifblim,primeape,scovillain,sneaselhisui,tinkaton,drifblim,meowstic,scovillain,sneaselhisui
drifblim,jumpluff,luxray,meowstic,thievul,tinkaton,dewgong,drifblim,primeape,scovillain,sneaselhisui,tinkaton,drifblim,meowstic,primeape,sneaselhisui
armaldo,drifblim,glalie,lunatone,primeape,sneaselhisui,arbok,armaldo,drifblim,emolga,furret,ludicolo,drifblim,glalie,emolga,ludicolo
armaldo,drifblim,glalie,lunatone,primeape,sneaselhisui,arbok,armaldo,drifblim,emolga,furret,ludicolo,glalie,sneaselhisui,furret,ludicolo
charmander,cloyster,diglett,eevee,jigglypuff,magneton,articuno,dugtrioalola,lunala,rayquaza,vaporeon,zapdos,charmander,cloyster,lunala,rayquaza
annihilape,archaludon,basculegionf,cresselia,kyogre,zamazentacrowned,farigiraf,ironhands,miraidon,necrozmadawnwings,ogerponcornerstone,ursaluna,archaludon,kyogre,ironhands,necrozmadawnwings
annihilape,archaludon,basculegionf,cresselia,kyogre,zamazentacrowned,farigiraf,ironhands,miraidon,necrozmadawnwings,ogerponcornerstone,ursaluna,cresselia,zamazentacrowned,farigiraf,miraidon
annihilape,archaludon,basculegionf,cresselia,kyogre,zamazentacrowned,farigiraf,ironhands,miraidon,necrozmadawnwings,ogerponcornerstone,ursaluna,cresselia,zamazentacrowned,farigiraf,miraidon
farigiraf,hitmontop,hooh,miraidon,ninetalesalola,ursaluna,cresselia,fluttermane,koraidon,primarina,raichu,zekrom,farigiraf,miraidon,cresselia,primarina
cresselia,fluttermane,koraidon,primarina,raichu,zekrom,farigiraf,hitmontop,hooh,miraidon,ninetalesalola,ursaluna,cresselia,primarina,hitmontop,ninetalesalola
cresselia,fluttermane,koraidon,primarina,raichu,zekrom,farigiraf,hitmontop,hooh,miraidon,ninetalesalola,ursaluna,cresselia,primarina,hitmontop,hooh
incineroar,kyuremwhite,miraidon,ninetalesalola,okidogi,sandyshocks,calyrexshadow,chiyu,mausholdfour,ogerponwellspring,pawmot,terapagos,miraidon,sandyshocks,calyrexshadow,mausholdfour
incineroar,kyuremwhite,miraidon,ninetalesalola,okidogi,sandyshocks,calyrexshadow,chiyu,mausholdfour,ogerponwellspring,pawmot,terapagos,miraidon,sandyshocks,calyrexshadow,chiyu
farigiraf,hooh,ironbundle,ironhands,spectrier,ursaluna,amoonguss,calyrexice,cresselia,dondozo,ursalunabloodmoon,urshifurapidstrike,hooh,ironhands,cresselia,dondozo
farigiraf,hooh,ironbundle,ironhands,spectrier,ursaluna,amoonguss,calyrexice,cresselia,dondozo,ursalunabloodmoon,urshifurapidstrike,hooh,spectrier,dondozo,urshifu
farigiraf,hooh,ironbundle,ironhands,spectrier,ursaluna,amoonguss,calyrexice,cresselia,dondozo,ursalunabloodmoon,urshifurapidstrike,hooh,ironbundle,dondozo,urshifu
amoonguss,dialgaorigin,hitmontop,lunala,ragingbolt,tyranitar,fluttermane,incineroar,jumpluff,kingambit,koraidon,lugia,amoonguss,lunala,incineroar,kingambit
amoonguss,dialgaorigin,hitmontop,lunala,ragingbolt,tyranitar,fluttermane,incineroar,jumpluff,kingambit,koraidon,lugia,amoonguss,dialgaorigin,incineroar,kingambit
heliolisk,jumpluff,primeape,pyroar,scovillain,whiscash,glalie,jumpluff,meowstic,primeape,pyroar,tinkaton,jumpluff,primeape,meowstic,pyroar
ampharos,arbok,drifblim,gumshoos,jumpluff,meowstic,glalie,jumpluff,meowstic,primeape,pyroar,tinkaton,drifblim,meowstic,meowstic,pyroar
ampharos,arbok,drifblim,gumshoos,jumpluff,meowstic,ampharos,jumpluff,kecleon,meowstic,pyroar,rampardos,ampharos,drifblim,ampharos,kecleon
ampharos,arbok,drifblim,gumshoos,jumpluff,meowstic,ampharos,jumpluff,kecleon,meowstic,pyroar,rampardos,drifblim,jumpluff,jumpluff,kecleon
brutebonnet,groudon,heatran,necrozmadawnwings,roaringmoon,walkingwake,murkrow,sneasler,thundurus,walkingwake,zamazentacrowned,zekrom,brutebonnet,necrozmadawnwings,thundurus,zamazenta
brutebonnet,groudon,heatran,necrozmadawnwings,roaringmoon,walkingwake,murkrow,sneasler,thundurus,walkingwake,zamazentacrowned,zekrom,brutebonnet,necrozmadawnwings,murkrow,walkingwake
murkrow,sneasler,thundurus,walkingwake,zamazentacrowned,zekrom,brutebonnet,gothitelle,groudon,screamtail,walkingwake,zamazentacrowned,murkrow,walkingwake,walkingwake,zamazenta
murkrow,sneasler,thundurus,walkingwake,zamazentacrowned,zekrom,brutebonnet,gothitelle,groudon,screamtail,walkingwake,zamazentacrowned,murkrow,walkingwake,gothitelle,groudon
groudon,hooh,ironvaliant,klefki,torracat,walkingwake,brutebonnet,gothitelle,groudon,screamtail,walkingwake,zamazentacrowned,hooh,ironvaliant,gothitelle,screamtail
groudon,hooh,ironvaliant,klefki,torracat,walkingwake,brutebonnet,gothitelle,groudon,screamtail,walkingwake,zamazentacrowned,hooh,ironvaliant,brutebonnet,groudon
brutebonnet,groudon,heatran,necrozmadawnwings,roaringmoon,walkingwake,brutebonnet,gothitelle,groudon,screamtail,walkingwake,zamazentacrowned,roaringmoon,walkingwake,brutebonnet,groudon
brutebonnet,groudon,heatran,necrozmadawnwings,roaringmoon,walkingwake,brutebonnet,gothitelle,groudon,screamtail,walkingwake,zamazentacrowned,groudon,roaringmoon,groudon,screamtail
brutebonnet,groudon,heatran,necrozmadawnwings,roaringmoon,walkingwake,brutebonnet,gothitelle,groudon,screamtail,walkingwake,zamazentacrowned,brutebonnet,necrozmadawnwings,groudon,walkingwake
brutebonnet,groudon,talonflame,typhlosionhisui,walkingwake,zaciancrowned,murkrow,sneasler,thundurus,walkingwake,zamazentacrowned,zekrom,talonflame,zacian,sneasler,zamazenta
brutebonnet,groudon,talonflame,typhlosionhisui,walkingwake,zaciancrowned,murkrow,sneasler,thundurus,walkingwake,zamazentacrowned,zekrom,talonflame,zacian,murkrow,walkingwake
calyrexshadow,chienpao,farigiraf,kyogre,landorustherian,tornadus,calyrexice,indeedeef,lunala,smeargle,torkoal,urshifurapidstrike,landorustherian,tornadus,lunala,smeargle
calyrexshadow,chienpao,farigiraf,kyogre,landorustherian,tornadus,calyrexice,indeedeef,lunala,smeargle,torkoal,urshifurapidstrike,calyrexshadow,farigiraf,lunala,smeargle
calyrexshadow,clefairy,flamigo,miraidon,pawmot,whimsicott,amoonguss,incineroar,ironjugulis,kyogre,urshifurapidstrike,zaciancrowned,miraidon,whimsicott,ironjugulis,kyogre
ampharos,arbok,drifblim,gumshoos,jumpluff,meowstic,glalie,jumpluff,meowstic,primeape,pyroar,tinkaton,arbok,drifblim,jumpluff,meowstic
ampharos,arbok,drifblim,gumshoos,jumpluff,meowstic,glalie,jumpluff,meowstic,primeape,pyroar,tinkaton,jumpluff,meowstic,jumpluff,meowstic
ampharos,arbok,drifblim,gumshoos,jumpluff,meowstic,glalie,jumpluff,meowstic,primeape,pyroar,tinkaton,drifblim,meowstic,meowstic,pyroar
ampharos,arbok,drifblim,gumshoos,jumpluff,meowstic,glalie,jumpluff,meowstic,primeape,pyroar,tinkaton,arbok,meowstic,jumpluff,tinkaton
armaldo,drifblim,glalie,gumshoos,jumpluff,primeape,glalie,jumpluff,meowstic,primeape,pyroar,tinkaton,glalie,jumpluff,glalie,primeape
armaldo,drifblim,glalie,gumshoos,jumpluff,primeape,glalie,jumpluff,meowstic,primeape,pyroar,tinkaton,drifblim,glalie,jumpluff,tinkaton
armaldo,drifblim,glalie,gumshoos,jumpluff,primeape,glalie,jumpluff,meowstic,primeape,pyroar,tinkaton,glalie,jumpluff,jumpluff,pyroar
armaldo,drifblim,glalie,gumshoos,jumpluff,primeape,arbok,armaldo,emolga,furret,ludicolo,whiscash,armaldo,drifblim,furret,ludicolo
armaldo,drifblim,glalie,gumshoos,jumpluff,primeape,arbok,armaldo,emolga,furret,ludicolo,whiscash,drifblim,glalie,emolga,ludicolo
armaldo,drifblim,glalie,gumshoos,jumpluff,primeape,arbok,armaldo,emolga,furret,ludicolo,whiscash,glalie,jumpluff,armaldo,ludicolo
armaldo,drifblim,glalie,gumshoos,jumpluff,primeape,arbok,armaldo,emolga,furret,ludicolo,whiscash,glalie,jumpluff,arbok,ludicolo
armaldo,drifblim,glalie,gumshoos,jumpluff,primeape,arbok,armaldo,emolga,furret,ludicolo,whiscash,glalie,jumpluff,emolga,ludicolo
fluttermane,groudon,ogerponhearthflame,rillaboom,solgaleo,zapdosgalar,kyogre,landorustherian,murkrow,ogerpon,urshifurapidstrike,zaciancrowned,rillaboom,solgaleo,kyogre,murkrow
fluttermane,groudon,ogerponhearthflame,rillaboom,solgaleo,zapdosgalar,kyogre,landorustherian,murkrow,ogerpon,urshifurapidstrike,zaciancrowned,solgaleo,zapdosgalar,kyogre,murkrow
calyrexshadow,chienpao,ogerponcornerstone,ragingbolt,volcarona,zamazentacrowned,calyrexshadow,chiyu,dialgaorigin,ironhands,ogerponcornerstone,urshifurapidstrike,calyrexshadow,zamazentacrowned,dialgaorigin,ironhands
armaldo,drifblim,glalie,gumshoos,jumpluff,primeape,jumpluff,luxray,meowstic,pyroar,rampardos,tinkaton,glalie,primeape,meowstic,pyroar
armaldo,drifblim,glalie,gumshoos,jumpluff,primeape,jumpluff,luxray,meowstic,pyroar,rampardos,tinkaton,glalie,jumpluff,meowstic,pyroar
armaldo,drifblim,glalie,gumshoos,jumpluff,primeape,jumpluff,luxray,meowstic,pyroar,rampardos,tinkaton,armaldo,drifblim,pyroar,tinkaton
armaldo,castform,heliolisk,ludicolo,meowstic,sneaselhisui,armaldo,drifblim,glalie,gumshoos,jumpluff,primeape,castform,ludicolo,glalie,primeape
armaldo,castform,heliolisk,ludicolo,meowstic,sneaselhisui,armaldo,drifblim,glalie,gumshoos,jumpluff,primeape,meowstic,sneaselhisui,drifblim,glalie
armaldo,castform,heliolisk,ludicolo,meowstic,sneaselhisui,armaldo,drifblim,glalie,gumshoos,jumpluff,primeape,ludicolo,meowstic,glalie,primeape
arbok,dewgong,lunatone,meowstic,pyroar,rampardos,armaldo,drifblim,glalie,gumshoos,jumpluff,primeape,dewgong,lunatone,drifblim,glalie
arbok,dewgong,lunatone,meowstic,pyroar,rampardos,armaldo,drifblim,glalie,gumshoos,jumpluff,primeape,dewgong,lunatone,drifblim,glalie
arbok,dewgong,lunatone,meowstic,pyroar,rampardos,armaldo,drifblim,glalie,gumshoos,jumpluff,primeape,lunatone,meowstic,armaldo,drifblim
arbok,dewgong,lunatone,meowstic,pyroar,rampardos,armaldo,drifblim,glalie,gumshoos,jumpluff,primeape,meowstic,pyroar,glalie,primeape
farigiraf,ironbundle,miraidon,sneasler,ursalunabloodmoon,zamazentacrowned,calyrexshadow,chiyu,fluttermane,koraidon,rillaboom,whimsicott,ironbundle,miraidon,fluttermane,koraidon
farigiraf,ironbundle,miraidon,sneasler,ursalunabloodmoon,zamazentacrowned,calyrexshadow,chiyu,fluttermane,koraidon,rillaboom,whimsicott,farigiraf,miraidon,chiyu,koraidon
arbok,dewgong,lunatone,meowstic,pyroar,rampardos,arbok,armaldo,emolga,furret,ludicolo,whiscash,dewgong,lunatone,emolga,ludicolo
arbok,dewgong,lunatone,meowstic,pyroar,rampardos,arbok,armaldo,emolga,furret,ludicolo,whiscash,lunatone,meowstic,ludicolo,whiscash
amoonguss,lunala,murkrow,smeargle,terapagos,weezinggalar,farigiraf,ironhands,miraidon,ogerponhearthflame,urshifurapidstrike,whimsicott,murkrow,weezinggalar,urshifurapidstrike,whimsicott
amoonguss,calyrexshadow,incineroar,ogerponcornerstone,rillaboom,weezinggalar,amoonguss,fluttermane,gothitelle,incineroar,koraidon,screamtail,incineroar,weezinggalar,incineroar,koraidon
amoonguss,calyrexshadow,incineroar,ogerponcornerstone,rillaboom,weezinggalar,amoonguss,fluttermane,gothitelle,incineroar,koraidon,screamtail,calyrexshadow,incineroar,fluttermane,koraidon
calyrexice,groudon,ironvaliant,scovillain,sinistcha,urshifurapidstrike,amoonguss,calyrexice,cresselia,dondozo,ursalunabloodmoon,urshifurapidstrike,groudon,scovillain,calyrexice,ursalunabloodmoon
calyrexice,groudon,ironvaliant,scovillain,sinistcha,urshifurapidstrike,amoonguss,calyrexice,cresselia,dondozo,ursalunabloodmoon,urshifurapidstrike,groudon,scovillain,dondozo,urshifu
eternatus,landorus,ogerponcornerstone,ragingbolt,tornadus,zaciancrowned,incineroar,ironvaliant,kyuremwhite,miraidon,ninetalesalola,okidogi,ogerponcornerstone,ragingbolt,incineroar,ninetalesalola
eternatus,landorus,ogerponcornerstone,ragingbolt,tornadus,zaciancrowned,incineroar,ironvaliant,kyuremwhite,miraidon,ninetalesalola,okidogi,ogerponcornerstone,ragingbolt,incineroar,ninetalesalola
eternatus,landorus,ogerponcornerstone,ragingbolt,tornadus,zaciancrowned,incineroar,ironvaliant,kyuremwhite,miraidon,ninetalesalola,okidogi,ogerponcornerstone,ragingbolt,miraidon,ninetalesalola
bisharp,groudon,incineroar,miraidon,urshifurapidstrike,whimsicott,chiyu,fluttermane,incineroar,koraidon,lunala,weezinggalar,miraidon,whimsicott,incineroar,koraidon
amoonguss,calyrexice,cresselia,dondozo,ursalunabloodmoon,urshifurapidstrike,eternatus,landorus,ogerponcornerstone,ragingbolt,tornadus,zaciancrowned,dondozo,ursalunabloodmoon,tornadus,zacian
amoonguss,calyrexice,cresselia,dondozo,ursalunabloodmoon,urshifurapidstrike,eternatus,landorus,ogerponcornerstone,ragingbolt,tornadus,zaciancrowned,ursalunabloodmoon,urshifu,tornadus,zacian
amoonguss,calyrexice,cresselia,dondozo,ursalunabloodmoon,urshifurapidstrike,eternatus,landorus,ogerponcornerstone,ragingbolt,tornadus,zaciancrowned,cresselia,dondozo,tornadus,zacian
incineroar,ironvaliant,kyuremwhite,miraidon,ninetalesalola,okidogi,enamorustherian,farigiraf,ironbundle,ironhands,lunala,ursaluna,incineroar,ironvaliant,enamorustherian,ironbundle
incineroar,ironvaliant,kyuremwhite,miraidon,ninetalesalola,okidogi,enamorustherian,farigiraf,ironbundle,ironhands,lunala,ursaluna,incineroar,okidogi,farigiraf,lunala
amoonguss,chienpao,incineroar,moltresgalar,ogerponwellspring,urshifurapidstrike,alcremie,gallade,incineroar,miraidon,terapagos,umbreon,chienpao,incineroar,incineroar,terapagos
calyrexice,hooh,incineroar,ogerponcornerstone,ragingbolt,urshifurapidstrike,grimmsnarl,kyogre,rillaboom,tornadus,urshifurapidstrike,zaciancrowned,calyrexice,ragingbolt,kyogre,urshifurapidstrike
grimmsnarl,incineroar,irontreads,koraidon,miraidon,volcarona,calyrexice,chiyu,fluttermane,groudon,jumpluff,ragingbolt,grimmsnarl,miraidon,groudon,jumpluff
brutebonnet,gougingfire,groudon,necrozmadawnwings,roaringmoon,walkingwake,brutebonnet,groudon,noivern,sylveon,walkingwake,zamazentacrowned,groudon,roaringmoon,noivern,sylveon
calyrexice,groudon,regieleki,scovillain,sinistcha,urshifurapidstrike,chienpao,heatran,terapagos,tornadus,urshifurapidstrike,zaciancrowned,groudon,scovillain,heatran,zaciancrowned
calyrexice,groudon,regieleki,scovillain,sinistcha,urshifurapidstrike,chienpao,heatran,terapagos,tornadus,urshifurapidstrike,zaciancrowned,calyrexice,regieleki,heatran,terapagos
calyrexice,groudon,regieleki,scovillain,sinistcha,urshifurapidstrike,chienpao,heatran,terapagos,tornadus,urshifurapidstrike,zaciancrowned,calyrexice,regieleki,tornadus,urshifurapidstrike
calyrexshadow,chiyu,gothitelle,ogerponhearthflame,rayquaza,screamtail,annihilape,archaludon,enamorustherian,kyogre,whimsicott,zamazentacrowned,calyrexshadow,screamtail,archaludon,whimsicott
calyrexshadow,chiyu,gothitelle,ogerponhearthflame,rayquaza,screamtail,annihilape,archaludon,enamorustherian,kyogre,whimsicott,zamazentacrowned,calyrexshadow,screamtail,enamorustherian,zamazentacrowned
dondozo,eternatus,grimmsnarl,hooh,rillaboom,ursalunabloodmoon,farigiraf,ironhands,miraidon,necrozmadawnwings,ogerponcornerstone,ursaluna,grimmsnarl,hooh,farigiraf,ironhands
dondozo,eternatus,grimmsnarl,hooh,rillaboom,ursalunabloodmoon,farigiraf,ironhands,miraidon,necrozmadawnwings,ogerponcornerstone,ursaluna,grimmsnarl,hooh,farigiraf,miraidon
kingambit,kyogre,landorustherian,murkrow,urshifurapidstrike,zaciancrowned,calyrexshadow,chiyu,mausholdfour,ogerponwellspring,pawmot,terapagos,kyogre,murkrow,pawmot,terapagos
kingambit,kyogre,landorustherian,murkrow,urshifurapidstrike,zaciancrowned,calyrexshadow,chiyu,mausholdfour,ogerponwellspring,pawmot,terapagos,kingambit,landorustherian,calyrexshadow,chiyu
kingambit,kyogre,landorustherian,murkrow,urshifurapidstrike,zaciancrowned,calyrexshadow,chiyu,mausholdfour,ogerponwellspring,pawmot,terapagos,kyogre,murkrow,calyrexshadow,ogerponwellspring
indeedeef,ironcrown,koraidon,weezinggalar,whimsicott,zamazentacrowned,fluttermane,groudon,ogerponhearthflame,roaringmoon,solgaleo,zapdosgalar,indeedeef,ironcrown,groudon,ogerponhearthflame
indeedeef,ironcrown,koraidon,weezinggalar,whimsicott,zamazentacrowned,fluttermane,groudon,ogerponhearthflame,roaringmoon,solgaleo,zapdosgalar,indeedeef,ironcrown,fluttermane,solgaleo
indeedeef,ironcrown,koraidon,weezinggalar,whimsicott,zamazentacrowned,fluttermane,groudon,ogerponhearthflame,roaringmoon,solgaleo,zapdosgalar,koraidon,whimsicott,roaringmoon,solgaleo
cyclizar,fletchling,glimmora,koraidon,lucario,urshifurapidstrike,floette,gardevoir,kyuremwhite,starly,urshifurapidstrike,wooper,fletchling,glimmora,gardevoir,kyuremwhite
cyclizar,fletchling,glimmora,koraidon,lucario,urshifurapidstrike,floette,gardevoir,kyuremwhite,starly,urshifurapidstrike,wooper,fletchling,glimmora,starly,wooper
heliolisk,jumpluff,meowstic,pyroar,rampardos,sneaselhisui,dewgong,kecleon,ludicolo,meowstic,sneaselhisui,tinkaton,meowstic,rampardos,ludicolo,sneaselhisui
heliolisk,jumpluff,meowstic,pyroar,rampardos,sneaselhisui,dewgong,kecleon,ludicolo,meowstic,sneaselhisui,tinkaton,meowstic,rampardos,ludicolo,meowstic
heliolisk,jumpluff,meowstic,pyroar,rampardos,sneaselhisui,dewgong,kecleon,ludicolo,meowstic,sneaselhisui,tinkaton,jumpluff,sneaselhisui,sneaselhisui,tinkaton
clefairy,cresselia,hatterene,hydrapple,palossand,vikavolt,archaludon,ironjugulis,pelipper,ragingbolt,urshifurapidstrike,wochien,cresselia,palossand,archaludon,pelipper
clefairy,cresselia,hatterene,hydrapple,palossand,vikavolt,archaludon,ironjugulis,pelipper,ragingbolt,urshifurapidstrike,wochien,clefairy,cresselia,archaludon,pelipper
fluttermane,houndoom,indeedee,irontreads,pelipper,rillaboom,altaria,brutebonnet,dugtrio,luxray,ninetales,tornadus,fluttermane,rillaboom,luxray,tornadus
altaria,brutebonnet,dugtrio,luxray,ninetales,tornadus,fluttermane,houndoom,indeedee,irontreads,pelipper,rillaboom,dugtrio,luxray,irontreads,rillaboom
corviknight,mabosstiff,pelipper,poliwrath,sinistcha,sylveon,electabuzz,goodra,hitmontop,metagross,noivern,wigglytuff,corviknight,sylveon,electabuzz,metagross
corviknight,mabosstiff,pelipper,poliwrath,sinistcha,sylveon,electabuzz,goodra,hitmontop,metagross,noivern,wigglytuff,sinistcha,sylveon,hitmontop,wigglytuff
