j1_1,j1_2,j1_3,j1_4,j1_5,j1_6,j2_1,j2_2,j2_3,j2_4,j2_5,j2_6,j1_l1,j1_l2,j2_l1,j2_l2
Flutter Mane,Groudon,Ogerpon-Hearthflame,Rillaboom,Solgaleo,Zapdos-Galar,Amoonguss,Calyrex-Ice,Dondozo,Tatsugiri-Droopy,Ursaluna-Bloodmoon,Urshifu-*,Groudon,Solgaleo,Calyrex-Ice,Urshifu
Brute Bonnet,Kingambit,Koraidon,Lunala,Raging Bolt,Sneasler,Archaludon,Kyogre,Landorus,Maushold-Four,Miraidon,Tornadus,Lunala,Sneasler,Kyogre,Tornadus
Amoonguss,Flutter Mane,Incineroar,Koraidon,Lunala,Ursaluna,Amoonguss,Calyrex-Ice,Incineroar,Landorus,Miraidon,Urshifu-*,Flutter Mane,Koraidon,Calyrex-Ice,Miraidon
Calyrex-Shadow,Rillaboom,Smeargle,Tornadus,Urshifu-*,Zamazenta-*,Incineroar,Lunala,Raging Bolt,Rillaboom,Terapagos,Volcarona,Tornadus,Urshifu-Rapid-Strike,Incineroar,Terapagos
Amoonguss,Excadrill,Ho-Oh,Kommo-o,Lunala,Tyranitar,Calyrex-Shadow,Lugia,Maushold,Muk-Alola,Smeargle,Ting-Lu,Amoonguss,Kommo-o,Muk-Alola,Smeargle
Gouging Fire,Grimmsnarl,Groudon,Lilligant-Hisui,Lunala,Raging Bolt,Amoonguss,Calyrex-Shadow,Incineroar,Ogerpon-Cornerstone,Rillaboom,Terapagos,Gouging Fire,Groudon,Calyrex-Shadow,Ogerpon-Cornerstone
Calyrex-Shadow,Grimmsnarl,Incineroar,Landorus,Ogerpon-Wellspring,Terapagos,Amoonguss,Excadrill,Ho-Oh,Kommo-o,Lunala,Tyranitar,Calyrex-Shadow,Ogerpon-Wellspring,Ho-Oh,Kommo-o
Amoonguss,Calyrex-Shadow,Chi-Yu,Miraidon,Raging Bolt,Tornadus,Amoonguss,Calyrex-Shadow,Flutter Mane,Gothitelle,Incineroar,Koraidon,Chi-Yu,Miraidon,Incineroar,Koraidon
Gouging Fire,Grimmsnarl,Groudon,Lilligant-Hisui,Lunala,Raging Bolt,Brute Bonnet,Calyrex-Shadow,Chi-Yu,Koraidon,Walking Wake,Weezing-Galar,Groudon,Lilligant-Hisui,Brute Bonnet,Walking Wake
Blaziken,Chien-Pao,Cryogonal,Dragapult,Galvantula,Necrozma-Dusk-Mane,Brute Bonnet,Calyrex-Shadow,Chi-Yu,Koraidon,Walking Wake,Weezing-Galar,Cryogonal,Dragapult,Chi-Yu,Koraidon
Corviknight,Mabosstiff,Pelipper,Poliwrath,Sinistcha,Snorlax,Hawlucha,Magnezone,Ninetales-Alola,Scrafty,Skeledirge,Ursaluna,Pelipper,Poliwrath,Ninetales-Alola,Skeledirge
Corviknight,Mabosstiff,Pelipper,Poliwrath,Sinistcha,Snorlax,Hawlucha,Magnezone,Ninetales-Alola,Scrafty,Skeledirge,Ursaluna,Pelipper,Poliwrath,Ninetales-Alola,Skeledirge
Corviknight,Mabosstiff,Pelipper,Poliwrath,Sinistcha,Snorlax,Hawlucha,Magnezone,Ninetales-Alola,Scrafty,Skeledirge,Ursaluna,Sinistcha,Snorlax,Magnezone,Scrafty
Chien-Pao,Eternatus,Ogerpon-Cornerstone,Tornadus,Urshifu-*,Zamazenta-*,Calyrex-Shadow,Dragapult,Groudon,Raging Bolt,Typhlosion,Whimsicott,Chien-Pao,Zamazenta-Crowned,Dragapult,Typhlosion
Chien-Pao,Eternatus,Ogerpon-Cornerstone,Tornadus,Urshifu-*,Zamazenta-*,Calyrex-Shadow,Dragapult,Groudon,Raging Bolt,Typhlosion,Whimsicott,Chien-Pao,Zamazenta-Crowned,Dragapult,Groudon
Ho-Oh,Iron Bundle,Iron Hands,Lunala,Regieleki,Ursaluna,Archaludon,Kyogre,Landorus-Therian,Murkrow,Urshifu-*,Zacian-*,Lunala,Regieleki,Kyogre,Murkrow
Ho-Oh,Iron Bundle,Iron Hands,Lunala,Regieleki,Ursaluna,Archaludon,Kyogre,Landorus-Therian,Murkrow,Urshifu-*,Zacian-*,Iron Bundle,Iron Hands,Landorus-Therian,Murkrow
Ho-Oh,Iron Bundle,Iron Hands,Lunala,Regieleki,Ursaluna,Archaludon,Kyogre,Landorus-Therian,Murkrow,Urshifu-*,Zacian-*,Lunala,Regieleki,Landorus-Therian,Murkrow
Amoonguss,Baxcalibur,Hitmontop,Noivern,Rillaboom,Whimsicott,Baxcalibur,Empoleon,Kilowattrel,Lucario,Quaquaval,Sylveon,Amoonguss,Baxcalibur,Empoleon,Kilowattrel
Amoonguss,Baxcalibur,Hitmontop,Noivern,Rillaboom,Whimsicott,Baxcalibur,Empoleon,Kilowattrel,Lucario,Quaquaval,Sylveon,Hitmontop,Rillaboom,Empoleon,Kilowattrel
Hydrapple,Incineroar,Iron Hands,Lunala,Ursaluna-Bloodmoon,Zacian-*,Chi-Yu,Cresselia,Flutter Mane,Koraidon,Mudsdale,Zekrom,Incineroar,Lunala,Cresselia,Mudsdale
Chi-Yu,Cresselia,Flutter Mane,Koraidon,Mudsdale,Zekrom,Hydrapple,Incineroar,Iron Hands,Lunala,Ursaluna-Bloodmoon,Zacian-*,Cresselia,Mudsdale,Lunala,Ursaluna-Bloodmoon
Ho-Oh,Iron Bundle,Iron Hands,Lunala,Regieleki,Ursaluna,Farigiraf,Iron Hands,Miraidon,Necrozma-Dawn-Wings,Ogerpon-Cornerstone,Ursaluna,Iron Bundle,Lunala,Iron Hands,Necrozma-Dawn-Wings
Ho-Oh,Iron Bundle,Iron Hands,Lunala,Regieleki,Ursaluna,Farigiraf,Iron Hands,Miraidon,Necrozma-Dawn-Wings,Ogerpon-Cornerstone,Ursaluna,Iron Bundle,Lunala,Farigiraf,Miraidon
Incineroar,Iron Valiant,Kyurem-White,Miraidon,Ninetales-Alola,Okidogi,Amoonguss,Dialga-Origin,Hitmontop,Lunala,Raging Bolt,Tyranitar,Incineroar,Okidogi,Amoonguss,Raging Bolt
Incineroar,Iron Valiant,Kyurem-White,Miraidon,Ninetales-Alola,Okidogi,Amoonguss,Dialga-Origin,Hitmontop,Lunala,Raging Bolt,Tyranitar,Incineroar,Okidogi,Hitmontop,Lunala
Araquanid,Chien-Pao,Landorus,Terapagos,Urshifu-*,Zacian-*,Calyrex-Shadow,Indeedee,Maushold-Four,Ogerpon-Wellspring,Terapagos,Tinkaton,Urshifu-Rapid-Strike,Zacian-Crowned,Maushold-Four,Terapagos
Araquanid,Chien-Pao,Landorus,Terapagos,Urshifu-*,Zacian-*,Calyrex-Shadow,Indeedee,Maushold-Four,Ogerpon-Wellspring,Terapagos,Tinkaton,Chien-Pao,Terapagos,Calyrex-Shadow,Indeedee
Chien-Pao,Eternatus,Ogerpon-Cornerstone,Raging Bolt,Tornadus,Zacian-*,Calyrex-Shadow,Indeedee,Maushold-Four,Ogerpon-Wellspring,Terapagos,Tinkaton,Raging Bolt,Tornadus,Calyrex-Shadow,Indeedee
Chien-Pao,Eternatus,Ogerpon-Cornerstone,Raging Bolt,Tornadus,Zacian-*,Calyrex-Shadow,Indeedee,Maushold-Four,Ogerpon-Wellspring,Terapagos,Tinkaton,Tornadus,Zacian,Calyrex-Shadow,Maushold-Four
Chien-Pao,Eternatus,Ogerpon-Cornerstone,Raging Bolt,Tornadus,Zacian-*,Calyrex-Shadow,Indeedee,Maushold-Four,Ogerpon-Wellspring,Terapagos,Tinkaton,Chien-Pao,Tornadus,Calyrex-Shadow,Indeedee
Amoonguss,Farigiraf,Incineroar,Primarina,Registeel,Roaring Moon,Flutter Mane,Gallade,Moltres-Galar,Ogerpon-Hearthflame,Torkoal,Walking Wake,Farigiraf,Registeel,Flutter Mane,Gallade
Amoonguss,Farigiraf,Incineroar,Primarina,Registeel,Roaring Moon,Flutter Mane,Gallade,Moltres-Galar,Ogerpon-Hearthflame,Torkoal,Walking Wake,Farigiraf,Registeel,Flutter Mane,Walking Wake
Flutter Mane,Gallade,Moltres-Galar,Ogerpon-Hearthflame,Torkoal,Walking Wake,Amoonguss,Farigiraf,Incineroar,Primarina,Registeel,Roaring Moon,Flutter Mane,Walking Wake,Amoonguss,Roaring Moon
Calyrex-Shadow,Clefairy,Incineroar,Raging Bolt,Rillaboom,Zamazenta-*,Calyrex-Ice,Farigiraf,Incineroar,Landorus,Miraidon,Urshifu-*,Calyrex-Shadow,Rillaboom,Miraidon,Urshifu-Rapid-Strike
Farigiraf,Grimmsnarl,Ho-Oh,Iron Hands,Landorus,Miraidon,Calyrex-Ice,Chien-Pao,Farigiraf,Kyurem-White,Ninetales-Alola,Sableye,Grimmsnarl,Miraidon,Calyrex-Ice,Sableye
Calyrex-Shadow,Dragonite,Electivire,Scizor,Ting-Lu,Zamazenta-*,Gastrodon,Ho-Oh,Incineroar,Iron Leaves,Miraidon,Tsareena,Calyrex-Shadow,Electivire,Incineroar,Miraidon
Calyrex-Shadow,Dragonite,Electivire,Scizor,Ting-Lu,Zamazenta-*,Gastrodon,Ho-Oh,Incineroar,Iron Leaves,Miraidon,Tsareena,Calyrex-Shadow,Electivire,Incineroar,Miraidon
Chi-Yu,Flutter Mane,Iron Hands,Koraidon,Miraidon,Whimsicott,Incineroar,Lunala,Raging Bolt,Rillaboom,Terapagos,Volcarona,Chi-Yu,Whimsicott,Lunala,Volcarona
Calyrex-Shadow,Farigiraf,Iron Hands,Miraidon,Sneasler,Whimsicott,Chi-Yu,Flutter Mane,Iron Hands,Koraidon,Miraidon,Whimsicott,Sneasler,Whimsicott,Koraidon,Whimsicott
Calyrex-Ice,Clawitzer,Grimmsnarl,Incineroar,Iron Hands,Miraidon,Calyrex-Ice,Indeedee-F,Kyogre,Landorus,Tornadus,Urshifu-*,Calyrex-Ice,Incineroar,Tornadus,Urshifu-Rapid-Strike
Calyrex-Ice,Clawitzer,Grimmsnarl,Incineroar,Iron Hands,Miraidon,Calyrex-Ice,Indeedee-F,Kyogre,Landorus,Tornadus,Urshifu-*,Grimmsnarl,Miraidon,Tornadus,Urshifu-Rapid-Strike
Calyrex-Ice,Clawitzer,Grimmsnarl,Incineroar,Iron Hands,Miraidon,Calyrex-Ice,Indeedee-F,Kyogre,Landorus,Tornadus,Urshifu-*,Calyrex-Ice,Iron Hands,Tornadus,Urshifu-Rapid-Strike
Calyrex-Shadow,Incineroar,Indeedee-F,Koraidon,Lilligant-Hisui,Walking Wake,Amoonguss,Araquanid,Empoleon,Oranguru,Sinistcha,Ursaluna,Koraidon,Lilligant-Hisui,Empoleon,Oranguru
Calyrex-Ice,Clawitzer,Grimmsnarl,Incineroar,Iron Hands,Miraidon,Brute Bonnet,Flutter Mane,Iron Hands,Iron Jugulis,Koraidon,Miraidon,Grimmsnarl,Miraidon,Brute Bonnet,Iron Hands
Calyrex-Shadow,Incineroar,Indeedee-F,Koraidon,Lilligant-Hisui,Walking Wake,Amoonguss,Araquanid,Empoleon,Oranguru,Sinistcha,Ursaluna,Calyrex-Shadow,Indeedee-F,Empoleon,Oranguru
Calyrex-Ice,Clawitzer,Grimmsnarl,Incineroar,Iron Hands,Miraidon,Brute Bonnet,Flutter Mane,Iron Hands,Iron Jugulis,Koraidon,Miraidon,Calyrex-Ice,Iron Hands,Flutter Mane,Iron Jugulis
Incineroar,Landorus,Miraidon,Overqwil,Tornadus,Zamazenta-*,Incineroar,Lunala,Miraidon,Ninetales-Alola,Ogerpon-Wellspring,Raging Bolt,Incineroar,Tornadus,Lunala,Miraidon
Calyrex-Ice,Gallade,Indeedee,Kyogre,Sneasler,Ursaluna,Altaria,Lilligant,Mimikyu,Palkia,Toxtricity,Zoroark,Calyrex-Ice,Ursaluna,Mimikyu,Palkia
Calyrex-Ice,Gallade,Indeedee,Kyogre,Sneasler,Ursaluna,Altaria,Lilligant,Mimikyu,Palkia,Toxtricity,Zoroark,Calyrex-Ice,Ursaluna,Altaria,Toxtricity
Eternatus,Grimmsnarl,Ho-Oh,Ogerpon-Wellspring,Rillaboom,Ursaluna-Bloodmoon,Ditto,Indeedee-F,Iron Crown,Koraidon,Walking Wake,Zamazenta-*,Eternatus,Grimmsnarl,Indeedee-F,Koraidon
Eternatus,Grimmsnarl,Ho-Oh,Ogerpon-Wellspring,Rillaboom,Ursaluna-Bloodmoon,Ditto,Indeedee-F,Iron Crown,Koraidon,Walking Wake,Zamazenta-*,Eternatus,Grimmsnarl,Koraidon,Walking Wake
Flutter Mane,Glimmora,Groudon,Ogerpon-Hearthflame,Solgaleo,Ting-Lu,Calyrex-Shadow,Chi-Yu,Gothitelle,Ogerpon-Hearthflame,Rayquaza,Scream Tail,Solgaleo,Ting-Lu,Calyrex-Shadow,Scream Tail
Flutter Mane,Glimmora,Groudon,Ogerpon-Hearthflame,Solgaleo,Ting-Lu,Calyrex-Shadow,Chi-Yu,Gothitelle,Ogerpon-Hearthflame,Rayquaza,Scream Tail,Flutter Mane,Solgaleo,Calyrex-Shadow,Rayquaza
Flutter Mane,Glimmora,Groudon,Ogerpon-Hearthflame,Solgaleo,Ting-Lu,Calyrex-Shadow,Chi-Yu,Gothitelle,Ogerpon-Hearthflame,Rayquaza,Scream Tail,Flutter Mane,Glimmora,Calyrex-Shadow,Rayquaza
Farigiraf,Incineroar,Miraidon,Ursaluna,Whimsicott,Zacian-*,Incineroar,Lunala,Miraidon,Ursaluna,Urshifu-*,Whimsicott,Farigiraf,Miraidon,Incineroar,Lunala
Calyrex-Shadow,Ditto,Dondozo,Tatsugiri,Whimsicott,Zamazenta-*,Brute Bonnet,Flutter Mane,Incineroar,Koraidon,Lunala,Ursaluna,Calyrex-Shadow,Whimsicott,Incineroar,Koraidon
Calyrex-Ice,Flutter Mane,Incineroar,Indeedee-F,Ursaluna-Bloodmoon,Zamazenta-*,Amoonguss,Incineroar,Kyogre,Tornadus,Urshifu-*,Zacian-*,Calyrex-Ice,Indeedee-F,Amoonguss,Zacian-Crowned
Calyrex-Ice,Flutter Mane,Incineroar,Indeedee-F,Ursaluna-Bloodmoon,Zamazenta-*,Amoonguss,Incineroar,Kyogre,Tornadus,Urshifu-*,Zacian-*,Indeedee-F,Zamazenta-Crowned,Kyogre,Tornadus
Brute Bonnet,Calyrex-Shadow,Incineroar,Koraidon,Landorus,Raging Bolt,Brute Bonnet,Calyrex-Shadow,Incineroar,Koraidon,Raging Bolt,Weezing-Galar,Brute Bonnet,Landorus,Brute Bonnet,Calyrex-Shadow
Brute Bonnet,Calyrex-Shadow,Incineroar,Koraidon,Landorus,Raging Bolt,Brute Bonnet,Calyrex-Shadow,Incineroar,Koraidon,Raging Bolt,Weezing-Galar,Brute Bonnet,Landorus,Brute Bonnet,Calyrex-Shadow
Calyrex-Shadow,Incineroar,Iron Hands,Miraidon,Ursaluna,Urshifu-*,Brute Bonnet,Calyrex-Shadow,Incineroar,Koraidon,Raging Bolt,Weezing-Galar,Calyrex-Shadow,Miraidon,Calyrex-Shadow,Incineroar
Brute Bonnet,Calyrex-Shadow,Incineroar,Koraidon,Raging Bolt,Weezing-Galar,Calyrex-Ice,Indeedee-F,Iron Hands,Miraidon,Smeargle,Torkoal,Calyrex-Shadow,Weezing-Galar,Calyrex-Ice,Indeedee-F
Calyrex-Shadow,Grimmsnarl,Incineroar,Landorus,Ogerpon-Wellspring,Terapagos,Brute Bonnet,Calyrex-Shadow,Incineroar,Koraidon,Raging Bolt,Weezing-Galar,Incineroar,Landorus,Brute Bonnet,Calyrex-Shadow
Calyrex-Shadow,Incineroar,Iron Hands,Miraidon,Ursaluna,Urshifu-*,Amoonguss,Calyrex-Shadow,Clefairy,Incineroar,Tornadus,Zamazenta-*,Calyrex-Shadow,Iron Hands,Calyrex-Shadow,Incineroar
Araquanid,Chien-Pao,Landorus,Terapagos,Urshifu-*,Zacian-*,Basculegion,Entei,Miraidon,Necrozma-Dawn-Wings,Smeargle,Ursaluna,Terapagos,Zacian-Crowned,Miraidon,Smeargle
Araquanid,Chien-Pao,Landorus,Terapagos,Urshifu-*,Zacian-*,Basculegion,Entei,Miraidon,Necrozma-Dawn-Wings,Smeargle,Ursaluna,Landorus,Urshifu-Rapid-Strike,Entei,Miraidon
Klefki,Lunala,Miraidon,Moltres-Galar,Ursaluna,Urshifu-*,Calyrex-Ice,Incineroar,Iron Treads,Miraidon,Ogerpon-Wellspring,Smeargle,Klefki,Miraidon,Iron Treads,Miraidon
Annihilape,Calyrex-Shadow,Farigiraf,Koraidon,Rillaboom,Whimsicott,Calyrex-Shadow,Clefairy,Incineroar,Miraidon,Sneasler,Whimsicott,Annihilape,Whimsicott,Miraidon,Sneasler
Calyrex-Ice,Incineroar,Iron Treads,Miraidon,Ogerpon-Wellspring,Smeargle,Chien-Pao,Flutter Mane,Iron Hands,Miraidon,Ogerpon-Hearthflame,Terapagos,Calyrex-Ice,Incineroar,Miraidon,Terapagos
Meowscarada,Primarina,Scyther,Snorlax,Sylveon,Tauros-Paldea-Blaze,Calyrex-Shadow,Clefairy,Incineroar,Miraidon,Sneasler,Whimsicott,Meowscarada,Sylveon,Incineroar,Miraidon
Chien-Pao,Flutter Mane,Iron Hands,Miraidon,Ogerpon-Hearthflame,Terapagos,Calyrex-Shadow,Gothitelle,Incineroar,Primarina,Rhydon,Zamazenta-*,Ogerpon-Hearthflame,Terapagos,Primarina,Zamazenta-Crowned
Calyrex-Ice,Grimmsnarl,Incineroar,Landorus,Miraidon,Urshifu-*,Azumarill,Calyrex-Ice,Koraidon,Mimikyu,Ursaluna-Bloodmoon,Venusaur,Calyrex-Ice,Miraidon,Mimikyu,Venusaur
Granbull,Koraidon,Mewtwo,Probopass,Sandy Shocks,Skiploom,Chien-Pao,Ditto,Rayquaza,Zacian-*,Zapdos-Galar,Zoroark,Mewtwo,Probopass,Rayquaza,Zapdos-Galar
Granbull,Koraidon,Mewtwo,Probopass,Sandy Shocks,Skiploom,Chien-Pao,Ditto,Rayquaza,Zacian-*,Zapdos-Galar,Zoroark,Granbull,Probopass,Chien-Pao,Ditto
