j1_1,j1_2,j1_3,j1_4,j1_5,j1_6,j2_1,j2_2,j2_3,j2_4,j2_5,j2_6,j1_l1,j1_l2,j2_l1,j2_l2
Calyrex-Shadow,Chi-Yu,Chien-Pao,Orthworm,Sableye,Ursaluna-Bloodmoon,Cinccino,Dialga-Origin,Koraidon,Landorus-Therian,Roaring Moon,Weavile,Chi-Yu,Sableye,Landorus-Therian,Roaring Moon
Calyrex-Shadow,Chi-Yu,Chien-Pao,Orthworm,Sableye,Ursaluna-Bloodmoon,Cinccino,Dialga-Origin,Koraidon,Landorus-Therian,Roaring Moon,Weavile,Orthworm,Sableye,Koraidon,Weavile
Glastrier,Gouging Fire,Iron Hands,Kyurem-White,Oranguru,Urshifu-*,Calyrex-Shadow,Chi-Yu,Chien-Pao,Orthworm,Sableye,Ursaluna-Bloodmoon,Kyurem-White,Oranguru,Orthworm,Sableye
Glastrier,Gouging Fire,Iron Hands,Kyurem-White,Oranguru,Urshifu-*,Cinccino,Dialga-Origin,Koraidon,Landorus-Therian,Roaring Moon,Weavile,Gouging Fire,Kyurem-White,Dialga-Origin,Landorus-Therian
Glastrier,Gouging Fire,Iron Hands,Kyurem-White,Oranguru,Urshifu-*,Cinccino,Dialga-Origin,Koraidon,Landorus-Therian,Roaring Moon,Weavile,Kyurem-White,Oranguru,Roaring Moon,Weavile
Glastrier,Gouging Fire,Iron Hands,Kyurem-White,Oranguru,Urshifu-*,Cinccino,Dialga-Origin,Koraidon,Landorus-Therian,Roaring Moon,Weavile,Kyurem-White,Oranguru,Cinccino,Landorus-Therian
Chien-Pao,Farigiraf,Miraidon,Volcarona,Whimsicott,Zamazenta-*,Chi-Yu,Flutter Mane,Koraidon,Miraidon,Ogerpon-Cornerstone,Raging Bolt,Miraidon,Volcarona,Koraidon,Ogerpon-Cornerstone
Calyrex-Shadow,Chi-Yu,Chien-Pao,Orthworm,Sableye,Ursaluna-Bloodmoon,Glastrier,Gouging Fire,Iron Hands,Kyurem-White,Oranguru,Urshifu-*,Calyrex-Shadow,Chi-Yu,Kyurem-White,Oranguru
Calyrex-Shadow,Chi-Yu,Chien-Pao,Orthworm,Sableye,Ursaluna-Bloodmoon,Glastrier,Gouging Fire,Iron Hands,Kyurem-White,Oranguru,Urshifu-*,Orthworm,Sableye,Iron Hands,Oranguru
Calyrex-Shadow,Chi-Yu,Chien-Pao,Orthworm,Ursaluna-Bloodmoon,Whimsicott,Bisharp,Cresselia,Kyurem-White,Ninetales-Alola,Tornadus,Zamazenta-*,Chi-Yu,Whimsicott,Kyurem-White,Tornadus
Calyrex-Shadow,Chi-Yu,Chien-Pao,Orthworm,Ursaluna-Bloodmoon,Whimsicott,Cetitan,Cresselia,Kyurem-White,Lunala,Ninetales-Alola,Tornadus,Calyrex-Shadow,Whimsicott,Lunala,Ninetales-Alola
Calyrex-Shadow,Chi-Yu,Chien-Pao,Orthworm,Ursaluna-Bloodmoon,Whimsicott,Cetitan,Cresselia,Kyurem-White,Lunala,Ninetales-Alola,Tornadus,Orthworm,Whimsicott,Cetitan,Tornadus
Cetitan,Cresselia,Kyurem-White,Lunala,Ninetales-Alola,Tornadus,Grimmsnarl,Incineroar,Lunala,Miraidon,Ursaluna,Whimsicott,Cresselia,Lunala,Grimmsnarl,Miraidon
Cetitan,Cresselia,Kyurem-White,Lunala,Ninetales-Alola,Tornadus,Grimmsnarl,Incineroar,Lunala,Miraidon,Ursaluna,Whimsicott,Kyurem-White,Tornadus,Grimmsnarl,Lunala
Chi-Yu,Comfey,Groudon,Raging Bolt,Salamence,Walking Wake,Cetitan,Cresselia,Kyurem-White,Lunala,Ninetales-Alola,Tornadus,Raging Bolt,Salamence,Kyurem-White,Tornadus
Chi-Yu,Comfey,Groudon,Raging Bolt,Salamence,Walking Wake,Cetitan,Cresselia,Kyurem-White,Lunala,Ninetales-Alola,Tornadus,Groudon,Walking Wake,Kyurem-White,Tornadus
Chi-Yu,Comfey,Groudon,Raging Bolt,Salamence,Walking Wake,Cetitan,Cresselia,Kyurem-White,Lunala,Ninetales-Alola,Tornadus,Chi-Yu,Groudon,Cetitan,Ninetales-Alola
Brute Bonnet,Calyrex-Shadow,Flutter Mane,Incineroar,Koraidon,Whimsicott,Brute Bonnet,Chi-Yu,Flutter Mane,Koraidon,Lunala,Ursaluna,Brute Bonnet,Koraidon,Lunala,Ursaluna
Brute Bonnet,Calyrex-Shadow,Flutter Mane,Incineroar,Koraidon,Whimsicott,Brute Bonnet,Chi-Yu,Flutter Mane,Koraidon,Lunala,Ursaluna,Calyrex-Shadow,Incineroar,Lunala,Ursaluna
Calyrex-Ice,Groudon,Iron Valiant,Regieleki,Roaring Moon,Urshifu-*,Calyrex-Shadow,Chi-Yu,Gothitelle,Ogerpon-Hearthflame,Rayquaza,Scream Tail,Calyrex-Ice,Roaring Moon,Calyrex-Shadow,Scream Tail
Amoonguss,Dialga-Origin,Iron Bundle,Landorus-Therian,Lunala,Raging Bolt,Dondozo,Eternatus,Ho-Oh,Ogerpon-Wellspring,Tatsugiri,Ursaluna-Bloodmoon,Iron Bundle,Lunala,Ho-Oh,Ursaluna-Bloodmoon
Calyrex-Ice,Groudon,Iron Valiant,Regieleki,Roaring Moon,Urshifu-*,Calyrex-Shadow,Chi-Yu,Gothitelle,Ogerpon-Hearthflame,Rayquaza,Scream Tail,Calyrex-Ice,Iron Valiant,Calyrex-Shadow,Rayquaza
Ditto,Iron Crown,Koraidon,Walking Wake,Whimsicott,Zamazenta-*,Eternatus,Landorus,Ogerpon-Cornerstone,Raging Bolt,Tornadus,Zacian-*,Koraidon,Whimsicott,Eternatus,Tornadus
Amoonguss,Dialga-Origin,Iron Bundle,Landorus-Therian,Lunala,Raging Bolt,Dondozo,Eternatus,Ho-Oh,Ogerpon-Wellspring,Tatsugiri,Ursaluna-Bloodmoon,Iron Bundle,Lunala,Eternatus,Ho-Oh
Ditto,Iron Crown,Koraidon,Walking Wake,Whimsicott,Zamazenta-*,Eternatus,Landorus,Ogerpon-Cornerstone,Raging Bolt,Tornadus,Zacian-*,Koraidon,Whimsicott,Eternatus,Tornadus
Amoonguss,Dialga-Origin,Iron Bundle,Landorus-Therian,Lunala,Raging Bolt,Dondozo,Eternatus,Ho-Oh,Ogerpon-Wellspring,Tatsugiri,Ursaluna-Bloodmoon,Iron Bundle,Lunala,Eternatus,Ho-Oh
Drifblim,Jumpluff,Luxray,Meowstic,Thievul,Tinkaton,Dewgong,Drifblim,Primeape,Scovillain,Sneasel-Hisui,Tinkaton,Drifblim,Meowstic,Scovillain,Sneasel-Hisui
Drifblim,Jumpluff,Luxray,Meowstic,Thievul,Tinkaton,Dewgong,Drifblim,Primeape,Scovillain,Sneasel-Hisui,Tinkaton,Drifblim,Meowstic,Scovillain,Sneasel-Hisui
Drifblim,Jumpluff,Luxray,Meowstic,Thievul,Tinkaton,Dewgong,Drifblim,Primeape,Scovillain,Sneasel-Hisui,Tinkaton,Drifblim,Meowstic,Primeape,Sneasel-Hisui
Armaldo,Drifblim,Glalie,Lunatone,Primeape,Sneasel-Hisui,Arbok,Armaldo,Drifblim,Emolga,Furret,Ludicolo,Drifblim,Glalie,Emolga,Ludicolo
Armaldo,Drifblim,Glalie,Lunatone,Primeape,Sneasel-Hisui,Arbok,Armaldo,Drifblim,Emolga,Furret,Ludicolo,Glalie,Sneasel-Hisui,Furret,Ludicolo
Charmander,Cloyster,Diglett,Eevee,Jigglypuff,Magneton,Articuno,Dugtrio-Alola,Lunala,Rayquaza,Vaporeon,Zapdos,Charmander,Cloyster,Lunala,Rayquaza
Annihilape,Archaludon,Basculegion-F,Cresselia,Kyogre,Zamazenta-*,Farigiraf,Iron Hands,Miraidon,Necrozma-Dawn-Wings,Ogerpon-Cornerstone,Ursaluna,Archaludon,Kyogre,Iron Hands,Necrozma-Dawn-Wings
Annihilape,Archaludon,Basculegion-F,Cresselia,Kyogre,Zamazenta-*,Farigiraf,Iron Hands,Miraidon,Necrozma-Dawn-Wings,Ogerpon-Cornerstone,Ursaluna,Cresselia,Zamazenta-Crowned,Farigiraf,Miraidon
Annihilape,Archaludon,Basculegion-F,Cresselia,Kyogre,Zamazenta-*,Farigiraf,Iron Hands,Miraidon,Necrozma-Dawn-Wings,Ogerpon-Cornerstone,Ursaluna,Cresselia,Zamazenta-Crowned,Farigiraf,Miraidon
Farigiraf,Hitmontop,Ho-Oh,Miraidon,Ninetales-Alola,Ursaluna,Cresselia,Flutter Mane,Koraidon,Primarina,Raichu,Zekrom,Farigiraf,Miraidon,Cresselia,Primarina
Cresselia,Flutter Mane,Koraidon,Primarina,Raichu,Zekrom,Farigiraf,Hitmontop,Ho-Oh,Miraidon,Ninetales-Alola,Ursaluna,Cresselia,Primarina,Hitmontop,Ninetales-Alola
Cresselia,Flutter Mane,Koraidon,Primarina,Raichu,Zekrom,Farigiraf,Hitmontop,Ho-Oh,Miraidon,Ninetales-Alola,Ursaluna,Cresselia,Primarina,Hitmontop,Ho-Oh
Incineroar,Kyurem-White,Miraidon,Ninetales-Alola,Okidogi,Sandy Shocks,Calyrex-Shadow,Chi-Yu,Maushold-Four,Ogerpon-Wellspring,Pawmot,Terapagos,Miraidon,Sandy Shocks,Calyrex-Shadow,Maushold-Four
Incineroar,Kyurem-White,Miraidon,Ninetales-Alola,Okidogi,Sandy Shocks,Calyrex-Shadow,Chi-Yu,Maushold-Four,Ogerpon-Wellspring,Pawmot,Terapagos,Miraidon,Sandy Shocks,Calyrex-Shadow,Chi-Yu
Farigiraf,Ho-Oh,Iron Bundle,Iron Hands,Spectrier,Ursaluna,Amoonguss,Calyrex-Ice,Cresselia,Dondozo,Ursaluna-Bloodmoon,Urshifu-*,Ho-Oh,Iron Hands,Cresselia,Dondozo
Farigiraf,Ho-Oh,Iron Bundle,Iron Hands,Spectrier,Ursaluna,Amoonguss,Calyrex-Ice,Cresselia,Dondozo,Ursaluna-Bloodmoon,Urshifu-*,Ho-Oh,Spectrier,Dondozo,Urshifu
Farigiraf,Ho-Oh,Iron Bundle,Iron Hands,Spectrier,Ursaluna,Amoonguss,Calyrex-Ice,Cresselia,Dondozo,Ursaluna-Bloodmoon,Urshifu-*,Ho-Oh,Iron Bundle,Dondozo,Urshifu
Amoonguss,Dialga-Origin,Hitmontop,Lunala,Raging Bolt,Tyranitar,Flutter Mane,Incineroar,Jumpluff,Kingambit,Koraidon,Lugia,Amoonguss,Lunala,Incineroar,Kingambit
Amoonguss,Dialga-Origin,Hitmontop,Lunala,Raging Bolt,Tyranitar,Flutter Mane,Incineroar,Jumpluff,Kingambit,Koraidon,Lugia,Amoonguss,Dialga-Origin,Incineroar,Kingambit
Heliolisk,Jumpluff,Primeape,Pyroar,Scovillain,Whiscash,Glalie,Jumpluff,Meowstic,Primeape,Pyroar,Tinkaton,Jumpluff,Primeape,Meowstic,Pyroar
Ampharos,Arbok,Drifblim,Gumshoos,Jumpluff,Meowstic,Glalie,Jumpluff,Meowstic,Primeape,Pyroar,Tinkaton,Drifblim,Meowstic,Meowstic,Pyroar
Ampharos,Arbok,Drifblim,Gumshoos,Jumpluff,Meowstic,Ampharos,Jumpluff,Kecleon,Meowstic,Pyroar,Rampardos,Ampharos,Drifblim,Ampharos,Kecleon
Ampharos,Arbok,Drifblim,Gumshoos,Jumpluff,Meowstic,Ampharos,Jumpluff,Kecleon,Meowstic,Pyroar,Rampardos,Drifblim,Jumpluff,Jumpluff,Kecleon
Brute Bonnet,Groudon,Heatran,Necrozma-Dawn-Wings,Roaring Moon,Walking Wake,Murkrow,Sneasler,Thundurus,Walking Wake,Zamazenta-*,Zekrom,Brute Bonnet,Necrozma-Dawn-Wings,Thundurus,Zamazenta
Brute Bonnet,Groudon,Heatran,Necrozma-Dawn-Wings,Roaring Moon,Walking Wake,Murkrow,Sneasler,Thundurus,Walking Wake,Zamazenta-*,Zekrom,Brute Bonnet,Necrozma-Dawn-Wings,Murkrow,Walking Wake
Murkrow,Sneasler,Thundurus,Walking Wake,Zamazenta-*,Zekrom,Brute Bonnet,Gothitelle,Groudon,Scream Tail,Walking Wake,Zamazenta-*,Murkrow,Walking Wake,Walking Wake,Zamazenta
Murkrow,Sneasler,Thundurus,Walking Wake,Zamazenta-*,Zekrom,Brute Bonnet,Gothitelle,Groudon,Scream Tail,Walking Wake,Zamazenta-*,Murkrow,Walking Wake,Gothitelle,Groudon
Groudon,Ho-Oh,Iron Valiant,Klefki,Torracat,Walking Wake,Brute Bonnet,Gothitelle,Groudon,Scream Tail,Walking Wake,Zamazenta-*,Ho-Oh,Iron Valiant,Gothitelle,Scream Tail
Groudon,Ho-Oh,Iron Valiant,Klefki,Torracat,Walking Wake,Brute Bonnet,Gothitelle,Groudon,Scream Tail,Walking Wake,Zamazenta-*,Ho-Oh,Iron Valiant,Brute Bonnet,Groudon
Brute Bonnet,Groudon,Heatran,Necrozma-Dawn-Wings,Roaring Moon,Walking Wake,Brute Bonnet,Gothitelle,Groudon,Scream Tail,Walking Wake,Zamazenta-*,Roaring Moon,Walking Wake,Brute Bonnet,Groudon
Brute Bonnet,Groudon,Heatran,Necrozma-Dawn-Wings,Roaring Moon,Walking Wake,Brute Bonnet,Gothitelle,Groudon,Scream Tail,Walking Wake,Zamazenta-*,Groudon,Roaring Moon,Groudon,Scream Tail
Brute Bonnet,Groudon,Heatran,Necrozma-Dawn-Wings,Roaring Moon,Walking Wake,Brute Bonnet,Gothitelle,Groudon,Scream Tail,Walking Wake,Zamazenta-*,Brute Bonnet,Necrozma-Dawn-Wings,Groudon,Walking Wake
Brute Bonnet,Groudon,Talonflame,Typhlosion-Hisui,Walking Wake,Zacian-*,Murkrow,Sneasler,Thundurus,Walking Wake,Zamazenta-*,Zekrom,Talonflame,Zacian,Sneasler,Zamazenta
Brute Bonnet,Groudon,Talonflame,Typhlosion-Hisui,Walking Wake,Zacian-*,Murkrow,Sneasler,Thundurus,Walking Wake,Zamazenta-*,Zekrom,Talonflame,Zacian,Murkrow,Walking Wake
Calyrex-Shadow,Chien-Pao,Farigiraf,Kyogre,Landorus-Therian,Tornadus,Calyrex-Ice,Indeedee-F,Lunala,Smeargle,Torkoal,Urshifu-*,Landorus-Therian,Tornadus,Lunala,Smeargle
Calyrex-Shadow,Chien-Pao,Farigiraf,Kyogre,Landorus-Therian,Tornadus,Calyrex-Ice,Indeedee-F,Lunala,Smeargle,Torkoal,Urshifu-*,Calyrex-Shadow,Farigiraf,Lunala,Smeargle
Calyrex-Shadow,Clefairy,Flamigo,Miraidon,Pawmot,Whimsicott,Amoonguss,Incineroar,Iron Jugulis,Kyogre,Urshifu-*,Zacian-*,Miraidon,Whimsicott,Iron Jugulis,Kyogre
Ampharos,Arbok,Drifblim,Gumshoos,Jumpluff,Meowstic,Glalie,Jumpluff,Meowstic,Primeape,Pyroar,Tinkaton,Arbok,Drifblim,Jumpluff,Meowstic
Ampharos,Arbok,Drifblim,Gumshoos,Jumpluff,Meowstic,Glalie,Jumpluff,Meowstic,Primeape,Pyroar,Tinkaton,Jumpluff,Meowstic,Jumpluff,Meowstic
Ampharos,Arbok,Drifblim,Gumshoos,Jumpluff,Meowstic,Glalie,Jumpluff,Meowstic,Primeape,Pyroar,Tinkaton,Drifblim,Meowstic,Meowstic,Pyroar
Ampharos,Arbok,Drifblim,Gumshoos,Jumpluff,Meowstic,Glalie,Jumpluff,Meowstic,Primeape,Pyroar,Tinkaton,Arbok,Meowstic,Jumpluff,Tinkaton
Armaldo,Drifblim,Glalie,Gumshoos,Jumpluff,Primeape,Glalie,Jumpluff,Meowstic,Primeape,Pyroar,Tinkaton,Glalie,Jumpluff,Glalie,Primeape
Armaldo,Drifblim,Glalie,Gumshoos,Jumpluff,Primeape,Glalie,Jumpluff,Meowstic,Primeape,Pyroar,Tinkaton,Drifblim,Glalie,Jumpluff,Tinkaton
Armaldo,Drifblim,Glalie,Gumshoos,Jumpluff,Primeape,Glalie,Jumpluff,Meowstic,Primeape,Pyroar,Tinkaton,Glalie,Jumpluff,Jumpluff,Pyroar
Armaldo,Drifblim,Glalie,Gumshoos,Jumpluff,Primeape,Arbok,Armaldo,Emolga,Furret,Ludicolo,Whiscash,Armaldo,Drifblim,Furret,Ludicolo
Armaldo,Drifblim,Glalie,Gumshoos,Jumpluff,Primeape,Arbok,Armaldo,Emolga,Furret,Ludicolo,Whiscash,Drifblim,Glalie,Emolga,Ludicolo
Armaldo,Drifblim,Glalie,Gumshoos,Jumpluff,Primeape,Arbok,Armaldo,Emolga,Furret,Ludicolo,Whiscash,Glalie,Jumpluff,Armaldo,Ludicolo
Armaldo,Drifblim,Glalie,Gumshoos,Jumpluff,Primeape,Arbok,Armaldo,Emolga,Furret,Ludicolo,Whiscash,Glalie,Jumpluff,Arbok,Ludicolo
Armaldo,Drifblim,Glalie,Gumshoos,Jumpluff,Primeape,Arbok,Armaldo,Emolga,Furret,Ludicolo,Whiscash,Glalie,Jumpluff,Emolga,Ludicolo
Flutter Mane,Groudon,Ogerpon-Hearthflame,Rillaboom,Solgaleo,Zapdos-Galar,Kyogre,Landorus-Therian,Murkrow,Ogerpon,Urshifu-*,Zacian-*,Rillaboom,Solgaleo,Kyogre,Murkrow
Flutter Mane,Groudon,Ogerpon-Hearthflame,Rillaboom,Solgaleo,Zapdos-Galar,Kyogre,Landorus-Therian,Murkrow,Ogerpon,Urshifu-*,Zacian-*,Solgaleo,Zapdos-Galar,Kyogre,Murkrow
Calyrex-Shadow,Chien-Pao,Ogerpon-Cornerstone,Raging Bolt,Volcarona,Zamazenta-*,Calyrex-Shadow,Chi-Yu,Dialga-Origin,Iron Hands,Ogerpon-Cornerstone,Urshifu-*,Calyrex-Shadow,Zamazenta-Crowned,Dialga-Origin,Iron Hands
Armaldo,Drifblim,Glalie,Gumshoos,Jumpluff,Primeape,Jumpluff,Luxray,Meowstic,Pyroar,Rampardos,Tinkaton,Glalie,Primeape,Meowstic,Pyroar
Armaldo,Drifblim,Glalie,Gumshoos,Jumpluff,Primeape,Jumpluff,Luxray,Meowstic,Pyroar,Rampardos,Tinkaton,Glalie,Jumpluff,Meowstic,Pyroar
Armaldo,Drifblim,Glalie,Gumshoos,Jumpluff,Primeape,Jumpluff,Luxray,Meowstic,Pyroar,Rampardos,Tinkaton,Armaldo,Drifblim,Pyroar,Tinkaton
Armaldo,Castform,Heliolisk,Ludicolo,Meowstic,Sneasel-Hisui,Armaldo,Drifblim,Glalie,Gumshoos,Jumpluff,Primeape,Castform,Ludicolo,Glalie,Primeape
Armaldo,Castform,Heliolisk,Ludicolo,Meowstic,Sneasel-Hisui,Armaldo,Drifblim,Glalie,Gumshoos,Jumpluff,Primeape,Meowstic,Sneasel-Hisui,Drifblim,Glalie
Armaldo,Castform,Heliolisk,Ludicolo,Meowstic,Sneasel-Hisui,Armaldo,Drifblim,Glalie,Gumshoos,Jumpluff,Primeape,Ludicolo,Meowstic,Glalie,Primeape
Arbok,Dewgong,Lunatone,Meowstic,Pyroar,Rampardos,Armaldo,Drifblim,Glalie,Gumshoos,Jumpluff,Primeape,Dewgong,Lunatone,Drifblim,Glalie
Arbok,Dewgong,Lunatone,Meowstic,Pyroar,Rampardos,Armaldo,Drifblim,Glalie,Gumshoos,Jumpluff,Primeape,Dewgong,Lunatone,Drifblim,Glalie
Arbok,Dewgong,Lunatone,Meowstic,Pyroar,Rampardos,Armaldo,Drifblim,Glalie,Gumshoos,Jumpluff,Primeape,Lunatone,Meowstic,Armaldo,Drifblim
Arbok,Dewgong,Lunatone,Meowstic,Pyroar,Rampardos,Armaldo,Drifblim,Glalie,Gumshoos,Jumpluff,Primeape,Meowstic,Pyroar,Glalie,Primeape
Farigiraf,Iron Bundle,Miraidon,Sneasler,Ursaluna-Bloodmoon,Zamazenta-*,Calyrex-Shadow,Chi-Yu,Flutter Mane,Koraidon,Rillaboom,Whimsicott,Iron Bundle,Miraidon,Flutter Mane,Koraidon
Farigiraf,Iron Bundle,Miraidon,Sneasler,Ursaluna-Bloodmoon,Zamazenta-*,Calyrex-Shadow,Chi-Yu,Flutter Mane,Koraidon,Rillaboom,Whimsicott,Farigiraf,Miraidon,Chi-Yu,Koraidon
Arbok,Dewgong,Lunatone,Meowstic,Pyroar,Rampardos,Arbok,Armaldo,Emolga,Furret,Ludicolo,Whiscash,Dewgong,Lunatone,Emolga,Ludicolo
Arbok,Dewgong,Lunatone,Meowstic,Pyroar,Rampardos,Arbok,Armaldo,Emolga,Furret,Ludicolo,Whiscash,Lunatone,Meowstic,Ludicolo,Whiscash
Amoonguss,Lunala,Murkrow,Smeargle,Terapagos,Weezing-Galar,Farigiraf,Iron Hands,Miraidon,Ogerpon-Hearthflame,Urshifu-*,Whimsicott,Murkrow,Weezing-Galar,Urshifu-Rapid-Strike,Whimsicott
Amoonguss,Calyrex-Shadow,Incineroar,Ogerpon-Cornerstone,Rillaboom,Weezing-Galar,Amoonguss,Flutter Mane,Gothitelle,Incineroar,Koraidon,Scream Tail,Incineroar,Weezing-Galar,Incineroar,Koraidon
Amoonguss,Calyrex-Shadow,Incineroar,Ogerpon-Cornerstone,Rillaboom,Weezing-Galar,Amoonguss,Flutter Mane,Gothitelle,Incineroar,Koraidon,Scream Tail,Calyrex-Shadow,Incineroar,Flutter Mane,Koraidon
Calyrex-Ice,Groudon,Iron Valiant,Scovillain,Sinistcha,Urshifu-*,Amoonguss,Calyrex-Ice,Cresselia,Dondozo,Ursaluna-Bloodmoon,Urshifu-*,Groudon,Scovillain,Calyrex-Ice,Ursaluna-Bloodmoon
Calyrex-Ice,Groudon,Iron Valiant,Scovillain,Sinistcha,Urshifu-*,Amoonguss,Calyrex-Ice,Cresselia,Dondozo,Ursaluna-Bloodmoon,Urshifu-*,Groudon,Scovillain,Dondozo,Urshifu
Eternatus,Landorus,Ogerpon-Cornerstone,Raging Bolt,Tornadus,Zacian-*,Incineroar,Iron Valiant,Kyurem-White,Miraidon,Ninetales-Alola,Okidogi,Ogerpon-Cornerstone,Raging Bolt,Incineroar,Ninetales-Alola
Eternatus,Landorus,Ogerpon-Cornerstone,Raging Bolt,Tornadus,Zacian-*,Incineroar,Iron Valiant,Kyurem-White,Miraidon,Ninetales-Alola,Okidogi,Ogerpon-Cornerstone,Raging Bolt,Incineroar,Ninetales-Alola
Eternatus,Landorus,Ogerpon-Cornerstone,Raging Bolt,Tornadus,Zacian-*,Incineroar,Iron Valiant,Kyurem-White,Miraidon,Ninetales-Alola,Okidogi,Ogerpon-Cornerstone,Raging Bolt,Miraidon,Ninetales-Alola
Bisharp,Groudon,Incineroar,Miraidon,Urshifu-*,Whimsicott,Chi-Yu,Flutter Mane,Incineroar,Koraidon,Lunala,Weezing-Galar,Miraidon,Whimsicott,Incineroar,Koraidon
Amoonguss,Calyrex-Ice,Cresselia,Dondozo,Ursaluna-Bloodmoon,Urshifu-*,Eternatus,Landorus,Ogerpon-Cornerstone,Raging Bolt,Tornadus,Zacian-*,Dondozo,Ursaluna-Bloodmoon,Tornadus,Zacian
Amoonguss,Calyrex-Ice,Cresselia,Dondozo,Ursaluna-Bloodmoon,Urshifu-*,Eternatus,Landorus,Ogerpon-Cornerstone,Raging Bolt,Tornadus,Zacian-*,Ursaluna-Bloodmoon,Urshifu,Tornadus,Zacian
Amoonguss,Calyrex-Ice,Cresselia,Dondozo,Ursaluna-Bloodmoon,Urshifu-*,Eternatus,Landorus,Ogerpon-Cornerstone,Raging Bolt,Tornadus,Zacian-*,Cresselia,Dondozo,Tornadus,Zacian
Incineroar,Iron Valiant,Kyurem-White,Miraidon,Ninetales-Alola,Okidogi,Enamorus-Therian,Farigiraf,Iron Bundle,Iron Hands,Lunala,Ursaluna,Incineroar,Iron Valiant,Enamorus-Therian,Iron Bundle
Incineroar,Iron Valiant,Kyurem-White,Miraidon,Ninetales-Alola,Okidogi,Enamorus-Therian,Farigiraf,Iron Bundle,Iron Hands,Lunala,Ursaluna,Incineroar,Okidogi,Farigiraf,Lunala
Amoonguss,Chien-Pao,Incineroar,Moltres-Galar,Ogerpon-Wellspring,Urshifu-*,Alcremie-Rainbow-Swirl,Gallade,Incineroar,Miraidon,Terapagos,Umbreon,Chien-Pao,Incineroar,Incineroar,Terapagos
